IPO name,Offer date,SIC,Ticker,Unit,Offer price
Kongzhong Corp,20040708,4899,KONG,1,10
Greenfield Online Inc,20040715,8742,SRVY,1,13
RightNow Technologies Inc,20040805,7372,RNOW,1,7
Google Inc,20040819,7375,GOOG,1,85
Ecost Com Inc,20040827,5961,ECST,1,5.8
51Job.Inc,20040928,7361,JOBS,1,14
Gurunet Corp,20041013,7379,GRU,1,5
PlanetOut Inc,20041013,7373,LGBT,1,9
China Finance Online Co Ltd,20041015,7389,JRJC,1,13
Interchange Corp,20041018,2741,INCX,1,8
Shopping.com Ltd,20041025,7389,SHOP,1,18
eLong.com,20041027,7389,LONG,1,13.5
MarketAxess Holdings Inc,20041104,6211,MKTX,1,11
InPhonic Inc,20041116,4899,INPC,1,19
Ninetowns,20041202,7372,NINE,1,11
HouseValues Inc,20041209,8748,SOLD,1,15
ARBINET THEXCHANGE INC,20041216,7389,ARBX,1,17.5
Otelco Telecommunications Llc,20041216,4813,OTT,2,15.2
OptionsXpress  Holdings Inc,20050126,6211,OXPS,1,16.5
Gravity Co Ltd,20050207,7371,GRVY,1,13.5
Odimo Inc,20050214,5944,ODMO,1,9
BofI Holding Inc,20050314,6141,BOFI,1,11.5
VeriFone Holdings Inc,20050429,3578,PAY,1,10
Eschelon Telecom Inc,20050804,4813,ESCH,1,14
Baidu.com Inc,20050805,7375,BIDU,1,27
TRX Inc,20050927,7374,TRXI,1,9
WebMD Health Corp,20050928,7375,WBMD,1,17.5
VistaPrint Limited,20050929,2759,VPRT,1,12
Website Pros Inc,20051101,7372,WSPI,1,10
Vocus,20051206,7372,VOCS,1,9
DealerTrack Holdings,20051212,7373,TRAK,1,17
Traffic.com Inc,20060125,7375,TRFC,1,12
IncrediMail Ltd,20060130,7371,MAIL,1,7.5
Digital Music Group Inc,20060202,6794,DMGI,1,9.75
NightHawk Radiology Holdings,20060208,8071,NHWK,1,16
Liquidity Services Inc,20060222,7375,LQDT,1,10
Vonage Hldgs Corp,20060523,4813,VG,1,17
LoopNet Inc,20060606,6531,LOOP,1,12
Omniture Inc,20060627,7372,OMTR,1,6.5
GMarket Inc,20060628,5961,GMKT,1,15.25
WNS(Holdings)Ltd,20060725,7389,WNS,1,20
Riverbed Technology Inc,20060920,3577,RVBD,1,9.75
CommVault Systems Inc,20060921,7372,CVLT,1,14.5
Shutterfly Inc,20060928,7384,SFLY,1,15
Acme Packet Inc,20061012,7373,APKT,1,9.5
EHealth Inc,20061012,6411,EHTH,1,14
Capella Education Co,20061109,8299,CPLA,1,20
Guidance Software,20061213,7372,GUID,1,11.5
US Auto Parts Networks Inc,20070208,5531,PRTS,1,10
Aruba Networks Inc,20070326,7372,ARUN,1,11
Veraz Networks Inc,20070404,7375,VRAZ,1,8
TechTarget Inc,20070516,2741,TTGT,1,13
Limelight Networks Inc,20070607,7389,LLNW,1,15
Comscore Inc,20070626,7372,SCOR,1,16.5
Dice Holdings Inc,20070717,7319,DHX,1,13
Orbitz Worldwide Inc,20070719,7375,OWW,1,15
Monotype Imaging Holdings Inc,20070724,7371,TYPE,1,12
Voltaire Ltd,20070725,7372,VOLT,1,9
HireRight Inc,20070807,7374,HIRE,1,15
Mercadolibre Inc,20070809,5999,MELI,1,18
Constant Contact Inc,20071002,7331,CTCT,1,16
Maxcom Telecomunicaciones SA,20071018,4813,MXT,1,17.5
012 Smile.Communications Ltd,20071030,4899,SMLC,1,12
SoundBite Communications Inc,20071101,7371,SDBT,1,8
American Public Education Inc,20071108,8211,APEI,1,20
Virtual Radiologic Corp,20071114,3826,VRAD,1,17
Internet Brands Inc,20071116,5961,INET,1,8
K12 Inc,20071212,8299,LRN,1,18
NetSuite Inc,20071219,7372,N,1,26
Rackspace Hosting Inc,20080807,7375,RAX,1,12.5
Changyou.com Ltd,20090401,7375,CYOU,1,16
SolarWinds Inc,20090519,7372,SWI,1,12.5
OpenTable Inc,20090521,7389,OPEN,1,20
Vitacost.com Inc,20090923,5961,VITC,1,12
Shanda Games Ltd,20090924,7375,GAME,1,12.5
Ancestry.com,20091105,7374,ACOM,1,13.5
QuinStreet Inc,20100210,7389,QNST,1,15
Financial Engines Inc,20100315,6282,FNGN,1,12
Convio Inc,20100429,7372,CNVO,1,9
ReachLocal Inc,20100519,7311,RLOC,1,13
Higher One Holdings Inc,20100616,7389,ONE,1,12
Envestnet Inc,20100728,7372,ENV,1,9
MakeMyTrip Ltd,20100811,4724,MMYT,1,14
SouFun Holdings Ltd,20100916,7374,SFUN,1,42.5
Mecox Lane Ltd,20101026,5999,MCOX,1,11
Bitauto Holdings Ltd,20101117,7374,BITA,1,12
E-Commerce China Dangdang Inc,20101207,5990,DANG,1,16
Youku.com Inc,20101208,3663,YOKU,1,12.8
Sky-mobi Ltd,20101209,7372,MOBI,1,8
GAIN Capital Holdings Inc,20101215,6221,GCAP,1,9
Qihoo 360 Technology Co Ltd,20110329,7375,QIHU,1,14.5
Ellie Mae Inc,20110414,7372,ELLI,1,6
Boingo Wireless Inc,20110503,7375,WIFI,1,13.5
Renren Inc,20110503,7375,RENN,1,14
FriendFinder Networks Inc,20110510,7375,FFN,1,10
LinkedIn Corp,20110518,7375,LNKD,1,45
Yandex NV,20110524,7375,YNDX,1,25
Pandora Media Inc,20110614,4832,P,1,16
Bankrate Inc,20110616,7389,RATE,1,15
HomeAway Inc,20110628,7375,AWAY,1,27
Zillow Inc,20110719,7375,Z,1,20
Carbonite Inc,20110810,7375,CARB,1,10
Tudou Holdings Ltd,20110816,7375,TUDO,1,29
Groupon Inc,20111103,7375,GRPN,1,20
Angie's List Inc,20111116,7381,ANGI,1,13
Zynga Inc,20111215,7374,ZNGA,1,10
Guidewire Software Inc,20120124,7372,GWRE,1,13
AVG Technologies NV,20120201,7372,AVG,1,16
Synacor Inc,20120209,7389,SYNC,1,5
Bazaarvoice Inc,20120223,7372,BV,1,12
Yelp Inc,20120301,7375,YELP,1,15
Demandware Inc,20120314,7372,DWRE,1,16
Vantiv Inc,20120321,7389,VNTV,1,17
CafePress Inc,20120328,5999,PRSS,1,19
Millennial Media Inc,20120328,7372,MM,1,13
Infoblox Inc,20120419,7374,BLOX,1,16
Proofpoint Inc,20120419,7372,PFPT,1,13
Facebook Inc,20120517,7375,FB,1,38
ServiceNow Inc,20120628,7372,NOW,1,18
KAYAK Software Corp,20120719,7375,KYAK,1,26
Trulia Inc,20120919,7374,TRLA,1,17
Qualys Inc,20120927,7372,QLYS,1,12
LifeLock Inc,20121002,7372,LOCK,1,9
Shutterstock Inc,20121010,7374,SSTK,1,17
YY Inc,20121120,7374,YY,1,10.5
Professional Diversity Network,20130305,7375,IPDN,1,8
QIWI PLC,20130502,7389,QIWI,1,17
LightInTheBox Hldg Co Ltd,20130605,5999,LITB,1,9.5
Gogo Inc,20130620,4899,GOGO,1,17
CDW Corp,20130626,5734,CDW,1,17
RetailMeNot Inc,20130718,7375,SALE,1,21
FireEye Inc,20130919,7372,FEYE,1,20
Rocket Fuel Inc,20130919,7319,FUEL,1,29
RingCentral,20130927,7374,RNG,1,13
Veeva Systems,20131016,7372,VEEV,1,20
Endurance Interntl Group Hold,20131025,7372,EIGI,1,12
58.com,20131031,7370,WUBA,1,17
Qunar Cayman Islands Ltd,20131101,7389,QUNR,1,15
Wix.com Ltd,20131106,7370,WIX,1,16.5
Twitter,20131107,7370,TWTR,1,26
Chegg,20131113,8200,CHGG,1,12.5
Zulily,20131115,5961,ZU,1,20
500.com Ltd,20131122,7990,WBAI,1,13
Autohome Inc,20131210,7374,ATHM,1,17
Coupons.com Inc,20140306,7389,COUP,1,16
Borderfree Inc,20140321,7389,BRDR,1,16
King Digital Entertainment plc,20140326,7372,KING,1,22.5
Aerohive Networks,20140328,3577,HIVE,1,10
Everyday Health,20140328,7389,EVDY,1,14
"2U, Inc",20140328,7372,TWOU,1,13
GrubHub Inc,20140404,7375,GRUB,1,26
Zendesk Inc,20140515,7372,ZEN,1,9
TrueCar Inc,20140516,7375,TRUE,1,9
CyberArk Software Ltd,20140924,7372,CYBR,1,16
Wayfair Inc,20141002,5961,W,1,29
Atento SA,20141002,4813,ATTO,1,15
Cnova NV,20141120,5961,CNV,1,7
LendingClub Corp,20141211,6159,LC,1,15
Connecture Inc,20141212,7372,CNXR,1,8
On Deck Capital Inc,20141217,6159,ONDK,1,20
Box Inc,20150123,7372,BOX,1,14
GoDaddy Inc,20150401,7375,GDDY,1,20
Etsy Inc,20150416,5961,ETSY,1,16
Virtu Financial Inc,20150416,6289,VIRT,1,19
Shopify Inc,20150521,7372,SHOP,1,17
MINDBODY Inc,20150619,7374,MB,1,14
TransUnion,20150625,7372,TRU,1,22.5
Xactly Corp,20150626,7372,XTLY,1,8
Rapid7 Inc,20150717,7372,RPD,1,16
Instructure Inc,20151113,7372,INST,1,16
Square Inc,20151119,7372,SQ,1,9
Mimecast Ltd,20151119,7372,MIME,1,10
Match Group Inc,20151119,7389,MTCH,1,12
BATS Global Markets Inc,20160415,6211,BATS,1,19
SecureWorks Corp,20160422,7379,SCWX,1,14
Acacia Communications Inc,20160513,3674,ACIA,1,23
The Trade Desk Inc,20160921,8742,TTD,1,18
Tabula Rasa HealthCare Inc,20160929,8059,TRHC,1,12
Quantenna Communications Inc,20161028,7375,QTNA,1,16
Snap Inc,20170302,7372,SNAP,1,17
Presidio Inc,20170310,7376,PSDO,1,14
Netshoes (Cayman) Ltd,20170412,5961,NETS,1,18
Carvana Co,20170428,5511,CVNA,1,15
Blue Apron Holdings Inc,20170629,5961,APRN,1,10
Tintri Inc,20170630,7375,TNTR,1,7
Redfin Corp,20170728,6531,RDFN,1,15
Despegar.com Corp,20170920,4724,DESP,1,26
Roku Inc,20170928,4841,ROKU,1,14
Forescout Technologies Inc,20171027,3577,FSCT,1,22
Bandwidth.com Inc,20171110,7375,BAND,1,20
Dropbox Inc,20180323,7375,DBX,1,21
Pluralsight Inc,20180517,7370,PS,1,15
GreenSky Inc,20180524,7389,GSKY,1,23
Avalara Inc,20180615,7372,AVLR,1,24
Eventbrite Inc,20180920,7372,EB,1,23
Farfetch Ltd,20180921,7389,FTCH,1,20
SVMK Inc,20180926,7374,SVMK,1,12
Upwork Inc,20181003,7374,UPWK,1,15
Elastic NV,20181005,7379,ESTC,1,36
Anaplan Inc,20181012,7376,PLAN,1,17
Stoneco Ltd,20181025,7372,STNE,1,24
