permno,permco,namedt,nameenddt,comnam,cusip,ticker,exchcd,begdat,begprc,date,prc
81042.0,30499.0,1994-10-18,2005-01-30,PERUSAHAAN P P P T INDO SAT COR,74438310,IIT,1.0,1994-10-18,1994-10-18,1994-10-18,37.125
81043.0,21399.0,1994-10-19,2016-09-01,PHILIPPINE LONG DISTANCE TELE C,69344D40,PHI,1.0,1994-10-19,1994-10-19,1994-10-19,59.25
81044.0,30277.0,1994-10-14,2002-04-03,POHANG IRON & STEEL LTD,69348310,PKX,1.0,1994-10-14,1994-10-14,1994-10-14,37.25
81045.0,30500.0,1994-10-18,2018-12-31,REALTY INCOME CORP,75610910,O,1.0,1994-10-18,1994-10-18,1994-10-18,16.0
81046.0,30501.0,1994-10-06,2002-04-23,REED INTERNATIONAL PLC,75953010,RUK,1.0,1994-10-06,1994-10-06,1994-10-06,24.5
81047.0,30502.0,1994-10-26,1997-05-30,SINTER METALS INC,82934Q10,SNM,1.0,1994-10-26,1994-10-26,1994-10-26,10.0
81048.0,30503.0,1994-10-13,2003-05-26,SPORTS CLUB INC,84917P10,SCY,2.0,1994-10-13,1994-10-13,1994-10-13,9.0
81049.0,30506.0,1994-10-14,2018-07-12,VINA CONCHA Y TORO S A,92719110,VCO,1.0,1994-10-14,1994-10-14,1994-10-14,18.875
81050.0,30507.0,1994-11-16,2014-09-18,ADMIN FONDOS PENSIONES PROVIDA,00709P10,PVD,1.0,1994-11-16,1994-11-16,1994-11-16,19.0
81051.0,30509.0,1994-11-22,1999-04-15,ASSISTED LIVING CONCEPTS INC,04543L10,ALF,2.0,1994-11-22,1994-11-22,1994-11-22,9.25
81052.0,30510.0,1994-11-14,1999-04-09,AVIVA PETROLEUM INC,05379P30,AVV,2.0,1994-11-14,1994-11-14,1994-11-14,4.75
81053.0,30511.0,1994-11-15,2001-04-05,BANCO GANADERO S A,05959440,BGA,1.0,1994-11-15,1994-11-15,1994-11-15,26.0
81054.0,30512.0,1994-11-04,1996-06-30,BANCO OSORNO Y LA UNION,05965F10,BOU,1.0,1994-11-04,1994-11-04,1994-11-04,13.5
81055.0,30513.0,1994-11-16,2018-12-31,CAPITAL ONE FINANCIAL CORP,14040H10,COF,1.0,1994-11-16,1994-11-16,1994-11-16,16.0
81056.0,30514.0,1994-11-04,1997-05-14,CHASE BRASS INDUSTRIES INC,16156810,CSI,1.0,1994-11-04,1994-11-04,1994-11-04,10.0
81057.0,30515.0,1994-11-21,2000-03-01,CONVERSE INC DEL,21254010,CVE,1.0,1994-11-21,1994-11-21,1994-11-21,12.25
81058.0,30516.0,1994-11-16,1997-11-18,ENRON GLOBAL PWR & PIPELINES LL,29356M10,EPP,1.0,1994-11-16,1994-11-16,1994-11-16,24.375
81059.0,30517.0,1994-11-03,1997-06-17,FALCON BUILDING PRODUCTS INC,30591610,FB,1.0,1994-11-03,1994-11-03,1994-11-03,12.125
81060.0,30519.0,1994-11-17,2000-02-27,HAMMONS JOHN Q HOTELS INC,40862310,JQH,1.0,1994-11-17,1994-11-17,1994-11-17,16.5
81061.0,30521.0,1994-12-01,1995-01-02,MCKESSON CORP NEW,58155Q10,MKN,1.0,1994-12-01,1994-12-01,1994-12-01,32.0
81062.0,30522.0,1994-11-17,2010-06-17,METROGAS S A,59167320,MGS,1.0,1994-11-17,1994-11-17,1994-11-17,12.75
81063.0,30523.0,1994-11-02,2003-12-09,OFFICEMAX INC,67622M10,OMX,1.0,1994-11-02,1994-11-02,1994-11-02,24.5
81064.0,30525.0,1994-11-18,2003-08-04,SPORTS AUTHORITY INC,84917610,TSA,1.0,1994-11-18,1994-11-18,1994-11-18,24.0
81065.0,30526.0,1994-11-08,1999-03-12,STORAGE TRUST REALTY,86190910,SEA,1.0,1994-11-08,1994-11-08,1994-11-08,17.5
81066.0,30088.0,1994-11-07,2001-06-18,TEXAS BIOTECHNOLOGY CORP,29256X10,TXB,2.0,1994-11-07,1994-11-07,1994-11-07,1.375
81067.0,30527.0,1994-11-17,2018-12-31,TRANSPORTADORA DE GAS DEL SUR S,89387020,TGS,1.0,1994-11-17,1994-11-17,1994-11-17,11.0
81068.0,27763.0,1994-11-11,1998-12-01,UNITED LEISURE CORP,91077610,UTDL,3.0,1994-11-11,1994-11-11,1994-11-11,4.5625
81069.0,13446.0,1994-11-23,1998-01-05,ANDYNE COMPUTING LTD,03455910,ADYNF,3.0,1994-11-23,1994-11-23,1994-11-23,6.75
81070.0,13452.0,1994-11-30,1996-07-23,AFFINITY TELEPRODUCTIONS INC,00826P10,AFTY,3.0,1994-11-30,1994-11-30,1994-11-30,6.75
81071.0,13443.0,1994-11-22,2008-02-22,ALABAMA NATIONAL BANCORP DEL,01031710,ALAB,3.0,1994-11-22,1994-11-22,1994-11-22,10.0
81072.0,13433.0,1994-11-17,2002-09-13,ALLIED DEVICES CORP,01912010,ALDV,3.0,1994-11-17,1994-11-17,1994-11-17,3.375
81073.0,30020.0,1994-11-03,1996-10-31,AMERCO,02358610,AMOO,3.0,1994-11-03,1994-11-03,1994-11-03,17.375
81074.0,13429.0,1994-11-16,2003-02-10,CANNONDALE CORP,13779810,BIKE,3.0,1994-11-16,1994-11-16,1994-11-16,13.75
81075.0,4833.0,1972-12-14,1983-07-08,VISUAL SCIENCES INC,92844510,VSCI,3.0,1972-12-14,1972-12-14,1972-12-14,14.75
81076.0,13448.0,1994-11-29,1999-08-19,BRIDGEPORT MACHINES INC,10822810,BPTM,3.0,1994-11-29,1994-11-29,1994-11-29,10.0
81077.0,5163.0,1994-11-23,1998-12-02,COMPUTONE CORP,20562D20,CMPT,3.0,1994-11-23,1994-11-23,1994-11-23,3.5
81078.0,13451.0,1994-11-30,2008-02-27,COHESANT TECHNOLOGIES INC,19248010,COHT,3.0,1994-11-30,1994-11-30,1994-11-30,4.75
81079.0,13435.0,1994-11-17,2000-05-03,FAMILY GOLF CENTERS,30701A10,FGCI,3.0,1994-11-17,1994-11-17,1994-11-17,6.125
81081.0,13427.0,1994-11-18,1996-12-29,FLORSHEIM SHOE CO NEW,34330210,FLSC,3.0,1994-11-18,1994-11-18,1994-11-18,9.5
81082.0,13420.0,1994-11-07,2000-07-07,GORAN CAPITAL INC,38268H10,GNCNF,3.0,1994-11-07,1994-11-07,1994-11-07,5.25
81083.0,6293.0,1983-08-16,1990-08-08,VITA PLUS IND INC,92845110,VPII,3.0,1983-08-16,1983-08-16,1983-08-16,5.1875
81084.0,13407.0,1994-11-01,2018-12-31,HUDSON TECHNOLOGIES INC,44414410,HDSN,3.0,1994-11-01,1994-11-01,1994-11-01,5.625
81085.0,13425.0,1994-11-14,1997-06-30,HEALTH FITNESS PHYSIC THERAPY I,42217V20,HFPT,3.0,1994-11-14,1994-11-14,1994-11-14,3.09375
81086.0,13406.0,1994-11-01,1999-04-23,HASKEL INTERNATIONAL INC,41810610,HSKL,3.0,1994-11-01,1994-11-01,1994-11-01,9.75
81087.0,13449.0,1994-11-30,2005-05-31,HUMPHREY HOSPITALITY TRUST INC,20676Y40,HUMP,3.0,1994-11-30,1994-11-30,1994-11-30,6.375
81088.0,13228.0,1994-11-25,1999-01-11,IONIC FUEL TECHNOLOGY INC,46221110,IFTI,3.0,1994-11-25,1994-11-25,1994-11-25,3.8125
81089.0,13441.0,1994-11-22,2000-05-02,I T I TECHNOLOGIES INC,45876310,ITII,3.0,1994-11-22,1994-11-22,1994-11-22,16.25
81090.0,13432.0,1994-11-16,1996-12-30,J P FOODSERVICE INC,90331R10,JPFS,3.0,1994-11-16,1994-11-16,1994-11-16,11.25
81091.0,5188.0,1981-11-17,1986-12-22,VISUAL TECHNOLOGY,92845510,VSAL,3.0,1981-11-17,1981-11-17,1981-11-17,12.125
81092.0,13438.0,1994-11-22,1997-11-28,K W G RESOURCES INC,48277D10,KWGDF,3.0,1994-11-22,1994-11-22,1994-11-22,2.8125
81093.0,13426.0,1994-11-28,1996-01-15,NATIONAL GAMING CORP,16139F10,NAGC,3.0,1994-11-28,1994-11-28,1994-11-28,18.0
81094.0,13411.0,1994-11-04,1999-12-01,NEW ENGLAND COMMUNITY BNCP INC,64389010,NECB,3.0,1994-11-04,1994-11-04,1994-11-04,8.25
