comnam,ticker,filingYr
ACCELGRAPHICS INC,ACCL,1997
VALLEY NATIONAL GASES INC,VNGI,1997
PEREGRINE SYSTEMS INC,PRGN,1997
24HOLDINGS INC,SCPI,1997
MEADE INSTRUMENTS CORP,MEAD,1997
NEXAR TECHNOLOGIES INC,NEXR,1997
FIRST SOUTH BANCORP INC /VA/,NSBC,1997
GULF ISLAND FABRICATION INC,GIFI,1997
"TPC LIQUIDATION, INC.",OCOM,1997
COMMODORE SEPARATION TECHNOLOGIES INC,CXOT,1997
HEMLOCK FEDERAL FINANCIAL CORP,HMLK,1997
CUMBERLAND MOUNTAIN BANCSHARES INC,CMBN,1997
GS FINANCIAL CORP,GSLA,1997
ASCENT PEDIATRICS INC,ASCT,1997
AMERICAN RETIREMENT CORP,ACR,1997
DSI TOYS INC,DSIT,1997
NETSPEAK CORP,NSPK,1997
"PREVU, INC",WLSN,1997
CAREY INTERNATIONAL INC,CARY,1997
APPLE ORTHODONTIX INC,AOI,1997
TROVER SOLUTIONS INC,HCRI,1997
HARTFORD LIFE INC,HLI,1997
ROCKY FORD FINANCIAL INC,RFFC,1997
SUMMIT HOLDING SOUTHEAST INC,SHSE,1997
NEI WEBWORLD INC,NEIP,1997
LEXINGTON HEALTHCARE GROUP INC,LEXI,1997
LHS GROUP INC,LHSG,1997
"SG BLOCKS, INC.",PCFRU,1997
BLUEFLY INC,PVTRU,1997
GENERAL CABLE CORP /DE/,GCN,1997
HAWAIIAN NATURAL WATER CO INC,HNWC,1997
SIERRACITIES COM INC,FSFH,1997
AMAZON COM INC,AMZN,1997
RAMBUS INC,RMBS,1997
SUPER NOVA RESOURCES INC.,ASDG,1997
BIOMETRICS SECURITY TECHNOLOGY INC,AUGS,1997
BRIGHAM EXPLORATION CO,BEXP,1997
BOBBY ALLISON WIRELESS CORP,CNTCU,1997
KNOLL INC,KNL,1997
JOURNAL REGISTER CO,JRC,1997
HCB BANCSHARES INC,HCBB,1997
"GLOBAL MATRECHS, INC.",HCOM,1997
KAYNAR TECHNOLOGIES INC,KTIC,1997
DTM CORP /TX/,DTMC,1997
BROOKDALE LIVING COMMUNITIES INC,BLCI,1997
MARINE MANAGEMENT SYSTEMS INC,MMSY,1997
"SCHIFF NUTRITION INTERNATIONAL, INC.",WNI,1997
FIRST ROBINSON FINANCIAL CORP,FRFC,1997
SECURITY BANCORP INC /TN,SCYT,1997
COMFORT SYSTEMS USA INC,FIX,1997
ADVANCED COMMUNICATION SYSTEMS INC,ACSC,1997
KIDS STUFF INC,KDST,1997
JLK DIRECT DISTRIBUTION INC,JLK,1997
800 JR CIGAR INC,JRJR,1997
NEW CENTURY TRS HOLDINGS INC,NCEN,1997
NXCHAIN INC.,RIMS,1997
GEVITY HR INC,STFF,1997
SISTERSVILLE BANCORP INC,SVBC,1997
SAXTON INC,SXTN,1997
3DFX INTERACTIVE INC,TDFX,1997
WATERLINK INC,WLK,1997
PACIFIC PREMIER BANCORP INC,LFCO,1997
QWEST COMMUNICATIONS INTERNATIONAL INC,QWST,1997
ACORN PRODUCTS INC,ACRN,1997
RANGE ENERGY CORP,DXD,1997
GREAT PLAINS SOFTWARE INC,GPSI,1997
METRIKA SYSTEMS CORP,MKA,1997
PROFESSIONAL TRANSPORTATION GROUP LTD INC,TRUC,1997
"STARTEK, INC.",SRT,1997
RWD TECHNOLOGIES INC,RWDT,1997
LASER POWER CORP/FA,LPWR,1997
AURORA BIOSCIENCES CORP,ABSC,1997
ARM FINANCIAL GROUP INC,ARM,1997
ARIS CORP/,ARSC,1997
NEW ERA OF NETWORKS INC,NEON,1997
SIMULATIONS PLUS INC,SIMU,1997
TIB FINANCIAL CORP.,TIBB,1997
STEEL VAULT CORP,SYCM,1997
ORBIT FR INC,ORFR,1997
INTEST CORP,INTT,1997
GENESYS TELECOMMUNICATIONS LABORATORIES INC,GCTI,1997
"MAXIMUS, INC.",MMS,1997
WASTE INDUSTRIES INC,WWIN,1997
STAR TELECOMMUNICATIONS INC,STRX,1997
IWL COMMUNICATIONS INC,IWLC,1997
RALPH LAUREN CORP,RL,1997
RC2 CORP,RACN,1997
PEAPOD INC,PPOD,1997
EFAX COM INC,JTFX,1997
HTE INC,HTEI,1997
MYTURN COM INC,CODI,1997
