" Filing
1998-05-01,1998-06-04,LandCARE USA Inc,0781,United States,GRW,BT-ALEX-BROWN,0.56,7,3.4,8.0,Ord/Common Shs.,Yes,51476F104,New York,"BT Alex Brown Inc
BT Alex Brown Inc",Comb.,Comb.,,Euro Public,,,,,419619.0,,,,,,No,No,No,,,1.0,1,1.0,,,BT-ALEX-BROWN//BT-ALEX-BROWN(GC),BT-ALEX-BROWN,BT-ALEX-BROWN,BT Alex Brown Inc
1997-09-15,1997-11-17,Landmark Systems Corp,7372,United States,LDMK,UNTERBERG,0.49,7,22.4,7.0,Common Shares,Yes,51506S100,Nasdaq,"CE Unterberg Towbin
Wheat First Butcher & Singer
BancAmerica Robertson Stephens
BT Alex Brown Inc
CIBC Oppenheimer
Cowen
Donaldson Lufkin & Jenrette
AG Edwards & Sons Inc
Hambrecht & Quist
Lehman Brothers
PaineWebber
Prudential Securities Inc
Burnham Securities Inc
Fahnestock & Co
First Albany
Ferris Baker Watts
Furman Selz LLC
Jefferies & Co Inc
Legg Mason Wood Walker
Pennsylvania Merchant Group
Gaines, Berland
Johnston Lemon & Co Inc
Ryan, Hartley & Lee, Inc.",1.429,1.429,4.14286,U.S. Public,,,3200000.0,36.8,2000000.0,1200000.0,1998-05-16 00:00:00,,180,,No,No,Yes,,,1.0,1,2.0,7.38,,"UNTERBERG//WHEAT-FBS//BA-SEC-ROBERTS
/BT-ALEX-BROWN/CIBC-OPPEN/COWEN/DLJ
/A-G-EDWARDS/HAMBRECHT/LEH/PAINE-W/PSI
/BURNHAM-SEC/FAHNESTOCK/FIRST-ALBANY
/FERRIS-BAKER/FURMAN-SELZ-INC/JEFFERIES
/LEGG-MASON-WW/PENN-MER-GROUP
/GAINES-BERLAND/JOHNSTON-LEMON
/RYAN-HARTLEY",UNTERBERG,"UNTERBERG
WHEAT-FBS","CE Unterberg Towbin
Wheat First Butcher & Singer Capital Markets"
1993-07-02,1993-08-18,Landry's Seafood Restaurants,5812,United States,LNY,DWR,0.84,7,24.0,12.0,Common Shares,Yes,51508L103,New York,"Dean Witter Reynolds Inc
JC Bradford & Co",1.417,1.833,3.75,U.S. Public,12.0,10.0,2000000.0,22.0,1600000.0,400000.0,1994-02-14 00:00:00,,180,3800000,No,No,No,,,1.0,1,2.0,14.25,,DWR//BRADFORD,DWR,"DWR
BRADFORD","Dean Witter Reynolds Inc
JC Bradford & Co"
1996-10-11,1996-12-18,Larscom Inc,3661,United States,LARS,MONTGOMERY,0.84,7,84.0,12.0,Class A Shares,Yes,51729Y108,Nasdaq,"Montgomery Securities
Cowen
Punk Ziegel & Knoell
Bear Stearns & Co Inc
Alex Brown & Sons Inc
Deutsche Morgan Grenfell
Robertson Stephens & Co
Smith Barney Inc
UBS Securities Inc
Furman Selz LLC
Needham & Co LLC
Raymond James & Associates Inc
Soundview Financial Group Inc
Wessels Arnold & Henderson LLC
Cruttenden Roth Inc
Nutmeg Securities Ltd
Brad Peery Inc
HC Wainwright & Co Inc
Dillon, Read & Co Inc
Morgan Stanley & Co
Hambrecht & Quist",1.417,1.417,4.16667,U.S. Public,14.0,12.0,7000000.0,91.0,5800000.0,1200000.0,1997-06-16 00:00:00,,180,,No,No,No,,Axel Johnson Inc,1.0,1,3.0,11.88,,"MONTGOMERY//COWEN/PUNK-ZIEGEL//BEAR
/ALEX-BROWN/DEUTSCHE-MORGAN/ROBERTSON-S
/SBI/UBS-SEC/FURMAN-SELZ-INC/NEEDHAM
/RAYMOND/SOUNDVIEW-FIN/WESSELS
/CRUTTENDEN-ROTH/NUTMEG-SEC/BRADPE
/H-C-WAINWRIGHT/DR/MS/HAMBRECHT",MONTGOMERY,"MONTGOMERY
COWEN
PUNK-ZIEGEL","Montgomery Securities
Cowen & Co
Punk Ziegel & Knoell"
1997-04-24,1997-07-17,LaSalle Partners Inc,6531,United States,LAP,MSDW,1.61,7,73.6,23.0,Common Shares,Yes,51802H105,New York,"Morgan Stanley Dean Witter
William Blair & Co
Montgomery Securities
Morgan Stanley Dean Witter",1.565,1.391,4.04348,U.S. Public,,,,,3200000.0,,,,,,No,No,No,,,1.0,1,3.0,29.56,,MSDW//WM-BLAIR/MONTGOMERY//MSDW(GC),MSDW,"MSDW
WM-BLAIR
MONTGOMERY","Morgan Stanley Dean Witter & Co
William Blair & Co
Montgomery Securities"
1997-04-24,1997-07-17,LaSalle Partners Inc,6531,United States,LAP,MS-I,1.61,7,18.4,23.0,Ord/Common Shs.,Yes,51802H105,New York,"Morgan Stanley International
William Blair & Co
Montgomery Securities
Morgan Stanley International",1.391,1.565,4.043,Euro Public,,,,92.0,800000.0,,,,,,No,No,No,,,1.0,1,3.0,,,MS-I//WM-BLAIR/MONTGOMERY//MS-I(GC),MS-I,"MS-I
WM-BLAIR
MONTGOMERY","Morgan Stanley International Ltd
William Blair & Co
Montgomery Securities"
1997-09-16,1997-11-26,Laser Mortgage Management Inc,6162,United States,LMM,BEAR,1.013,6.75,225.0,15.0,Common Shares,Yes,51806D100,New York,"Bear Stearns & Co Inc
Friedman Billings Ramsey Group
Stifel Nicolaus & Co Inc
EVEREN Securities Inc
ABN AMRO Chicago Corp
Crowell Weedon & Co
Equitable Securities Corp
Furman Selz LLC
First Southwest
Prudential Securities Inc
Neuberger Berman Inc
McDonald Investments
Lehman Brothers
Ladenburg Thalmann & Co
Keefe Bruyette & Woods Inc
Janney Montgomery Scott Inc
Gerard Klauer Mattison & Co
Wheat First Butcher & Singer
Tucker Anthony Inc
Sutro & Co Inc
Raymond James & Associates Inc
Gaines, Berland
Donaldson Lufkin & Jenrette
CIBC Oppenheimer
Blaylock & Partners LP
Brean Murray & Co Inc
BT Alex Brown Inc
Allen & Co Inc",1.35,1.4,4.0,U.S. Public,,,15000000.0,258.8,15000000.0,,1998-05-25 00:00:00,,180,1014000,No,No,No,,,1.0,1,4.0,14.5,,"BEAR//FRIEDMAN-B/STIFEL/EVEREN-SEC
//ABN-AMRO-CHI/CROWELL/EQUITABLE
/FURMAN-SELZ-INC/FIRST-SW/PSI/NEUBERGER
/MCDONALD/LEH/LADENBURG/KEEFE/JANNEY
/GERARD-KLAUER/WHEAT-FBS/TUCKER/SUTRO
/RAYMOND/GAINES-BERLAND/DLJ/CIBC-OPPEN
/BLAYLOCK-PTRNS/BREAN/BT-ALEX-BROWN
/ALLEN",BEAR,"BEAR
FRIEDMAN-B
STIFEL
EVEREN-SEC","Bear Stearns & Co Inc
Friedman Billings Ramsey Group
Stifel Nicolaus & Co Inc
EVEREN Securities Inc"
1997-04-02,1997-06-19,Laser Power Corp,3827,United States,LPWR,CRUTTENDEN-ROTH,0.4,7.273,9.1,5.5,Common Shares,Yes,51806K104,Nasdaq,"Cruttenden Roth Inc
L.H. Friend Weinress &Frankson
Equitable Securities Corp
Fahnestock & Co
Josephthal Lyons & Ross Inc
Needham & Co LLC
Pennsylvania Merchant Group
Principal Financial Securities
Unterberg Harris
Commonwealth Associates
Fechtor, Detwiler
First Analysis Securities
Laidlaw Equities Inc
Nutmeg Securities Ltd
Sands Brothers & Co Ltd
Stuart, Coleman & Co Inc",1.455,1.818,4.0,U.S. Public,8.5,6.5,2450000.0,18.4,1650000.0,,1997-12-16 00:00:00,,180,3959000,No,No,No,,,1.0,1,2.0,5.69,,"CRUTTENDEN-ROTH//F-WEINRESS//EQUITABLE
/FAHNESTOCK/JOSEPHTHAL-LYON/NEEDHAM
/PENN-MER-GROUP/PRINCIPAL-FIN
/UNTERBERG-H/COMMONWEALTH-AS/FECHTOR
/F-ANALYSIS/LAIDLAW-EQU/NUTMEG-SEC
/SANDS/STUART-COLEMAN",CRUTTENDEN-ROTH,"CRUTTENDEN-ROTH
F-WEINRESS","Cruttenden Roth Inc
LH Friend Weinress & Frankson Inc"
1996-08-08,1996-10-09,Lason Inc,7374,United States,LSSN,ROBERTSON-S,1.19,7,51.0,17.0,Common Shares,Yes,51808R107,Pink Sheet,"Robertson Stephens & Co
William Blair & Co",1.529,1.471,4.0,U.S. Public,16.5,14.5,2700000.0,41.9,3000000.0,,1997-01-07 00:00:00,,90,5074945,No,No,Yes,,,1.0,1,2.0,19.75,,ROBERTSON-S//WM-BLAIR,ROBERTSON-S,"ROBERTSON-S
WM-BLAIR","Robertson Stephens & Co
William Blair & Co"
2004-03-24,2004-06-15,Leadis Technology Inc,3674,United States,LDIS,GS,0.98,7,84.0,14.0,Common Shares,Yes,52171N103,Nasdaq,"Goldman Sachs & Co
Merrill Lynch
Thomas Weisel Partners
Needham & Co LLC",1.4,1.4,4.2,U.S. Public,,,,80.0,6000000.0,,2004-12-12 00:00:00,76.791,180,21052270,No,No,Yes,,,1.0,2,4.0,13.1,,"GS/MERRILL(JOINT)//THOMAS-WEISEL
/NEEDHAM",GS/MERRILL,"GS
/MERRILL(JOINT)
THOMAS-WEISEL
NEEDHAM","Goldman Sachs & Co
Merrill Lynch & Co Inc
Thomas Weisel Partners
Needham & Co LLC"
