 Filing Date,Issue Date,Issuer,Main SIC Code,Nation,Ticker Symbol,Bookrunner(s),Gross spread ($),Gross Spread as % of Prncpl Amt - in this Mkt,Proceeds Amt - in this Mkt ($ mil),Offer Price,Type of Security,IPO Flag (Y/N),9-Digit Cusip,Primary Exchange Where Issuer's Stock Trades,All Managers,Management Fee as % of Prncpl Amt - in this Mkt,Underwriting Fee as % of Prncpl Amt - in this Mkt,Selling Concession as % of Prncpl Amt - in this Mkt,Marketplace,Original High Filing Price,Original Low Filing Price,Shares Filed - in this Mkt,Amt Filed - in this Mkt ($ mil),Primary Shares Offered - in this Mkt,Secondary Shs Ofrd- in this Mkt,Lock up Expiration Date,Percent of Shares Outstanding Subject to Lockup Agreement,Lockup Days,Lockup Shares,Depositary,Units,Venture Backed,Spin-off Parent Ticker,Spinoff's Parent,Number of Bookrunners,RANK_NO_LEADS,"Number of Lead, Co-lead, & Co-managers",Stock Price at Close of Offer/1st Trade,Opening Stock Price at First Trade,All Managers.1,Lead Manager,Managers,Managers.1,permno,cusip,comnam,ticker,begprc,prc,Match Name,Match Date,diff date,mid,PA %
7/28/92,6/26/98,Cumulus Media Inc,4832,United States,CMLS,LEH,0.98,7,83.8,14,Class A Shares,Yes,231082108,Nasdaq,"Lehman Brothers
Bear Stearns & Co Inc
BT Alex Brown Inc
BancAmerica Robertson Stephens
Credit Lyonnais Securities USA
Donaldson Lufkin & Jenrette
AG Edwards & Sons Inc
Merrill Lynch
Morgan Stanley Dean Witter
Salomon Smith Barney
Robert W Baird & Co Inc
Cleary Gull Reiland & McDevitt
Dain Rauscher Wessels
Pennsylvania Merchant Group
Robinson-Humphrey Co
CE Unterberg Towbin
Lehman Brothers",1.429,1.643,3.92857,U.S. Public,,,,100,5064782,921790,,,,,No,No,No,,,1,1,3,14,,"LEH//BEAR/BT-ALEX-BROWN//BA-SEC-ROBERTS
/CL-SEC-USA/DLJ/A-G-EDWARDS/MERRILL
/MSDW/SALOMON-SMITH/BAIRD
/CLEARY-GULL-R-M/DAIN-R-WESSELS
/PENN-MER-GROUP/ROBINSON/UNTERBERG
//LEH(GC)",LEH,"LEH
BEAR
BT-ALEX-BROWN","Lehman Brothers
Bear Stearns & Co Inc
BT Alex Brown Inc",86155,23108260,CUMULUS MEDIA INC,CMLS,6/26/98,14,CUMULUS MEDIA INC,6/29/98,3,0,#DIV/0!
11/9/94,2/20/97,Brylane Inc,5961,United States,BYL,MERRILL,1.68,7,96,24,Common Shares,Yes,117661108,New York,"Merrill Lynch
Lazard Freres & Co LLC
JP Morgan",1.417,1.417,4.16667,U.S. Public,,,3500000,,4000000,,5/21/97 0:00,,90,12905000,No,No,No,,,1,1,3,1.13,,MERRILL//LAZ/JPM,MERRILL,"MERRILL
LAZ
JPM","Merrill Lynch & Co Inc
Lazard Freres & Co LLC
JP Morgan & Co Inc",84573,11766110,BRYLANE INC,BYL,2/21/97,24,"REDCATS USA, INC.",2/21/97,0,0,#DIV/0!
1/26/95,8/10/98,Pilot Network Services,7373,United States,PILT,CS-FB,0.98,7,38.2,14,Common Shares,Yes,721596104,Nasdaq,"CS First Boston Corp
BancAmerica Robertson Stephens
Hambrecht & Quist
CS First Boston Corp",1.357,1.429,4.21429,U.S. Public,,,,56.1,2607615,117385,,,,,No,No,Yes,,,1,1,3,13.63,,"CS-FB//BA-SEC-ROBERTS/HAMBRECHT
//CS-FB(GC)",CS-FB,"CS-FB
BA-SEC-ROBERTS
HAMBRECHT","CS First Boston Corp
BancAmerica Robertson Stephens Inc
Hambrecht & Quist Inc",86342,72159610,PILOT NETWORK SERVICES INC,PILT,8/11/98,13.625,PILOT NETWORK SERVICES INC,8/11/98,0,0,#DIV/0!
6/8/95,6/9/99,Skechers USA Inc,3143,United States,SKX,BT-ALEX-BROWN,0.77,7,60.8,11,Class A Shares,Yes,830566105,New York,"BT Alex Brown Inc
Prudential Securities Inc
Bear Stearns & Co Inc
CIBC World Markets Inc
Donaldson Lufkin & Jenrette
Merrill Lynch, Pierce, Fenner
Morgan Stanley & Co
Salomon Smith Barney
Wasserstein Perella Securities
Blaylock & Partners LP
JC Bradford & Co
Dain Rauscher Corp
EBI Securities Corp
Ferris Baker Watts
Gerard Klauer Mattison & Co
Gruntal & Co Inc
Josephthal & Co Inc
McDonald Investments
Edgar M. Norris & Co
