comnam,ticker,filingYr
CHS INC,CHSCP,2003
PROVIDENT FINANCIAL SERVICES INC,PFS,2003
CCSB FINANCIAL CORP,CCFC,2003
SPIRE INC,LG.A,2003
BRIDGE STREET FINANCIAL INC,OCNB,2003
ENDURANCE SPECIALTY HOLDINGS LTD,ENH,2003
ACCREDITED HOME LENDERS HOLDING CO,LEND,2003
INFINITY PROPERTY & CASUALTY CORP,IPCC,2003
BANK OF FLORIDA CORP,BOFL,2003
CN DRAGON CORP,IFOB,2003
HEARTLAND OIL & GAS CORP,ATIC,2003
IBC CAPITAL FINANCE II,IBCPO,2003
DRIVE SHACK INC.,NCT.B,2003
KEYSTONE PROPERTY TRUST,KTR.D,2003
RENAISSANCERE HOLDINGS LTD,RNR.B,2003
TELKOM SA LTD,TKG,2003
WESTERN UNITED HOLDING CO,WUC.,2003
ETELCHARGE.COM,ETLC,2003
FIRST PREFERRED CAPITAL TRUST IV,FBS.A,2003
LAFAYETTE COMMUNITY BANCORP,LFYC,2003
REDLINE PERFORMANCE PRODUCTS INC,RED,2003
"IPAYMENT, INC.",IPMT,2003
OLD SECOND CAPITAL TRUST I,OSBCP,2003
"MPG OFFICE TRUST, INC.",MPG,2003
AMERICAN FINANCIAL REALTY TRUST,AFR,2003
FORMFACTOR INC,FORM,2003
GABLES RESIDENTIAL TRUST,GBP.D,2003
"NETGEAR, INC",NTGR,2003
INTEGRATED ALARM SERVICES GROUP INC,IASG,2003
IPASS INC,IPAS,2003
CHUNGHWA TELECOM CO LTD,CHT,2003
ISTAR INC.,SFI.E,2003
INTERVIDEO INC,IVII,2003
JANEL CORP,JLWT,2003
"DTS, INC.",DTSI,2003
"MOLINA HEALTHCARE, INC.",MOH,2003
JEFFERSON BANCSHARES INC,JFBI,2003
FIRST REPUBLIC PREFERRED CAPITAL CORP,FRCCO,2003
AXIS CAPITAL HOLDINGS LTD,AXS,2003
ASHFORD HOSPITALITY TRUST INC,AHT,2003
"NATIONSHEALTH, INC.",MSTMU,2003
"PROTEXT MOBILITY, INC.",SHLP,2003
PROVIDENCE SERVICE CORP,PRSC,2003
"IN TOUCH MEDIA GROUP, INC.",UHMG,2003
TEXAS CAPITAL BANCSHARES INC/TX,TCBI,2003
GLADSTONE COMMERCIAL CORP,GOOD,2003
DIRECT GENERAL CORP,DRCT,2003
CAPITALSOURCE INC,CSE,2003
COUSINS PROPERTIES INC,CUZ.A,2003
CITADEL BROADCASTING CORP,CDL,2003
INTERSTATE POWER & LIGHT CO,IPL.C,2003
ANCHOR GLASS CONTAINER CORP /NEW,AGCC,2003
REDENVELOPE INC,REDE,2003
AMIS HOLDINGS INC,AMIS,2003
JOURNAL COMMUNICATIONS INC,JRN,2003
LTC PROPERTIES INC,LTC.E,2003
"SIGMATEL, LLC",SGTL,2003
VINEYARD NATIONAL BANCORP,VLP.B,2003
NATIONAL FINANCIAL PARTNERS CORP,NFP,2003
COLONIAL BANCGROUP INC,CNB.B,2003
FIRST MARBLEHEAD CORP,FMD,2003
OVERNITE CORP,OVNT,2003
MYOGEN INC,MYOG,2003
GENITOPE CORP,GTOP,2003
"MICROMET, INC.",CNVX,2003
CENTENNIAL SPECIALTY FOODS CORP,CHLE,2003
OFG BANCORP,OFG.B,2003
INVICTA GROUP INC,IVGA,2003
CARTERS INC,CRI,2003
FIRST POTOMAC REALTY TRUST,FPO,2003
RAINIER PACIFIC FINANCIAL GROUP INC,RPFG,2003
"MIDDLEBROOK PHARMACEUTICALS, INC.",AVNC,2003
DIGITALNET HOLDINGS INC,DNET,2003
ACUSPHERE INC,ACUS,2003
LKQ CORP,LKQX,2003
OPEN SOLUTIONS INC,OPEN,2003
PINNACLE AIRLINES CORP,PNCL,2003
SIRVA INC,SIR,2003
SYNNEX CORP,SNX,2003
CONNS INC,CONN,2003
"NEXSTAR MEDIA GROUP, INC.",NXST,2003
BUFFALO WILD WINGS INC,BWLD,2003
CALLIDUS SOFTWARE INC,CALD,2003
WHITING PETROLEUM CORP,WLL,2003
LECG CORP,XPRT,2003
TESSERA TECHNOLOGIES INC,TSRA,2003
MARLIN BUSINESS SERVICES CORP,MRLN,2003
CINEDIGM CORP.,AIX,2003
QUALITY DISTRIBUTION INC,QLTY,2003
PHARMION CORP,PHRM,2003
NITROMED INC,NTMD,2003
COAST FINANCIAL HOLDINGS INC,CFHI,2003
