comnam,ticker,filingYr
MTECH ACQUISITION CORP,MTECU,2018
"PLAYAGS, INC.",AGS,2018
"ARMO BIOSCIENCES, INC.",ARMO,2018
SOLID BIOSCIENCES INC.,SLDB,2018
"RESTORBIO, INC.",TORC,2018
"EYENOVIA, INC.",EYEN,2018
GORDON POINTE ACQUISITION CORP.,GPAQU,2018
GATES INDUSTRIAL CORP PLC,GTES,2018
MENLO THERAPEUTICS INC.,MNLO,2018
PAGSEGURO DIGITAL LTD.,PAGS,2018
"NINE ENERGY SERVICE, INC.",NINE,2018
ADT INC.,ADT,2018
AMERICOLD REALTY TRUST,COLD,2018
RANPAK HOLDINGS CORP.,OMADU,2018
TARGET HOSPITALITY CORP.,EAGLU,2018
INDUSTRIAL LOGISTICS PROPERTIES TRUST,ILPT,2018
LIBERTY OILFIELD SERVICES INC.,LBRT,2018
NEBULA ACQUISITION CORP,NEBUU,2018
"CUE BIOPHARMA, INC.",CUE,2018
UNION ACQUISITION CORP.,LTN'U,2018
DFB HEALTHCARE ACQUISITIONS CORP.,DFBHU,2018
"FARMMI, INC.",FAMI,2018
BIOFRONTERA AG,BFRA,2018
"MOTUS GI HOLDINGS, INC.",MOTS,2018
LEO HOLDINGS CORP.,LHC'U,2018
"CARDLYTICS, INC.",CDLX,2018
QUINTANA ENERGY SERVICES INC.,QES,2018
"VICTORY CAPITAL HOLDINGS, INC.",VCTR,2018
"CACTUS, INC.",WHD,2018
"EVOLUS, INC.",EOLS,2018
HUAMI CORP,HMI,2018
MUDRICK CAPITAL ACQUISITION CORP,MUDSU,2018
GRANITESHARES PLATINUM TRUST,PLTM,2018
SSLJ. COM LTD,SSLJ,2018
"FTS INTERNATIONAL, INC.",FTSI,2018
CENTRAL PUERTO S.A.,CEPU,2018
CORPORACION AMERICA AIRPORTS S.A.,CAAP,2018
HUDSON LTD.,HUD,2018
IPIC ENTERTAINMENT INC.,IPIC,2018
"ONE STOP SYSTEMS, INC.",OSS,2018
VICI PROPERTIES INC.,VICI,2018
SOL-GEL TECHNOLOGIES LTD.,SLGL,2018
"GENPREX, INC.",GNPX,2018
"IQIYI, INC.",IQ,2018
UNUM THERAPEUTICS INC.,UMRX,2018
ONESMART INTERNATIONAL EDUCATION GROUP LTD,ONE,2018
OP BANCORP,OPBK,2018
BILIBILI INC.,BILI,2018
"HOMOLOGY MEDICINES, INC.",FIXX,2018
GREENTREE HOSPITALITY GROUP LTD.,GHG,2018
"DROPBOX, INC.",DBX,2018
SUNLANDS TECHNOLOGY GROUP,STG,2018
ETF MANAGERS GROUP COMMODITY TRUST I,BDRY,2018
GOLDEN BULL LTD,DNJR,2018
SENMIAO TECHNOLOGY LTD,AIHS,2018
TIBERIUS ACQUISITION CORP,TIBRU,2018
"ZSCALER, INC.",ZS,2018
"ARCUS BIOSCIENCES, INC.",RCUS,2018
BRIDGEWATER BANCSHARES INC,BWB,2018
OPES ACQUISITION CORP.,OPESU,2018
"BIOXCEL THERAPEUTICS, INC.",BTAI,2018
"DOCUSIGN, INC.",DOCU,2018
"GOOSEHEAD INSURANCE, INC.",GSHD,2018
SMARTSHEET INC,SMAR,2018
"NLIGHT, INC.",LASR,2018
CERIDIAN HCM HOLDING INC.,CDAY,2018
LEVEL ONE BANCORP INC,LEVL,2018
"PIVOTAL SOFTWARE, INC.",PVTL,2018
"SURFACE ONCOLOGY, INC.",SURF,2018
MORPHOSYS AG,MOR,2018
GRAFTECH INTERNATIONAL LTD,EAF,2018
"AGM GROUP HOLDINGS, INC.",AGMH,2018
PURE ACQUISITION CORP.,PACQU,2018
ZUORA INC,ZUO,2018
SPOTIFY TECHNOLOGY S.A.,SPOT,2018
"HANCOCK JAFFE LABORATORIES, INC.",HJLI,2018
TRIDENT ACQUISITIONS CORP.,TDACU,2018
ITERUM THERAPEUTICS PLC,ITRM,2018
"KINIKSA PHARMACEUTICALS, LTD.",KNSA,2018
SCHOLAR ROCK HOLDING CORP,SRRK,2018
"GREENSKY, INC.",GSKY,2018
CLPS INC,CLPS,2018
"EVO PAYMENTS, INC.",EVOP,2018
"PLURALSIGHT, INC.",PS,2018
VECTOIQ ACQUISITION CORP.,VTIQU,2018
TRINITY MERGER CORP.,TMCXU,2018
HUYA INC.,HUYA,2018
"AXA EQUITABLE HOLDINGS, INC.",EQH,2018
"EVELO BIOSCIENCES, INC.",EVLO,2018
"ORIGIN BANCORP, INC.",OBNK,2018
"CONSTRUCTION PARTNERS, INC.",ROAD,2018
"SPIRIT OF TEXAS BANCSHARES, INC.",STXB,2018
ASLAN PHARMACEUTICALS LTD,ASLN,2018
BAYCOM CORP,BCML,2018
"CARBON BLACK, INC.",CBLK,2018
"INSPIRE MEDICAL SYSTEMS, INC.",INSP,2018
"UNITY BIOTECHNOLOGY, INC.",UBX,2018
"EDISON NATION, INC.",XSPL,2018
PERMROCK ROYALTY TRUST,PRT,2018
"DOMO, INC.",DOMO,2018
"BJ'S WHOLESALE CLUB HOLDINGS, INC.",BJ,2018
"BRIGHTVIEW HOLDINGS, INC.",BV,2018
ENTERA BIO LTD.,ENTX,2018
"EVERQUOTE, INC.",EVER,2018
HL ACQUISITIONS CORP.,HCCHU,2018
"FORTY SEVEN, INC.",FTSV,2018
NEW FRONTIER CORP,NFC'U,2018
"NEURONETICS, INC.",STIM,2018
"TRANSLATE BIO, INC.",TBIO,2018
"TRICIDA, INC.",TCDA,2018
UXIN LTD,UXIN,2018
"NEON THERAPEUTICS, INC.",NTGN,2018
LOVESAC CO,LOVE,2018
HYRECAR INC.,HYRE,2018
WORLD GOLD TRUST,GLDM,2018
"ELECTROCORE, INC.",ECOR,2018
AUTOLUS THERAPEUTICS PLC,AUTL,2018
APTINYX INC.,APTX,2018
"I3 VERTICALS, INC.",IIIV,2018
"KEZAR LIFE SCIENCES, INC.",KZR,2018
"ESSENTIAL PROPERTIES REALTY TRUST, INC.",EPRT,2018
"MAGENTA THERAPEUTICS, INC.",MGTA,2018
"AVROBIO, INC.",AVRO,2018
XERIS PHARMACEUTICALS INC,XERS,2018
TWELVE SEAS INVESTMENT CO,TWLVU,2018
LF CAPITAL ACQUISITION CORP.,LFACU,2018
"EIDOS THERAPEUTICS, INC.",EIDX,2018
REPAY HOLDINGS CORP,TBRGU,2018
VERRICA PHARMACEUTICALS INC.,VRCA,2018
PUXIN LTD,NEW,2018
"AVALARA, INC.",AVLR,2018
"CHARAH SOLUTIONS, INC.",CHRA,2018
US XPRESS ENTERPRISES INC,USX,2018
FAR POINT ACQUISITION CORP,FPACU,2018
MEIRAGTX HOLDINGS PLC,MGTX,2018
GS ACQUISITION HOLDINGS CORP,GSAHU,2018
AMBOW EDUCATION HOLDING LTD.,AMBO,2018
"ADIAL PHARMACEUTICALS, INC.",ADIL,2018
ENDAVA PLC,DAVA,2018
OPERA LTD,OPRA,2018
"SUMMIT WIRELESS TECHNOLOGIES, INC.",WISA,2018
AURORA MOBILE LTD,JG,2018
