comnam,ticker,filingYr
EYETECH PHARMACEUTICALS INC,EYET,2004
LIPMAN ELECTRONIC ENGINEERING LTD,LPMA,2004
"MPG OFFICE TRUST, INC.",MPG.A,2004
GOVERNMENT PROPERTIES TRUST INC,GPP,2004
PORTEC RAIL PRODUCTS INC,PRPX,2004
"ENLINK MIDSTREAM, INC.",XTXI,2004
K-SEA TRANSPORTATION PARTNERS LP,KSP,2004
CHEVIOT FINANCIAL CORP,CHEV,2004
BFC CAPITAL TRUST II,BANFP,2004
KINETIC CONCEPTS INC,KCI,2004
SOLOMON TECHNOLOGIES INC,SOLM,2004
CHEROKEE INTERNATIONAL CORP,CHRK,2004
DYNAVAX TECHNOLOGIES CORP,DVAX,2004
ETRIALS WORLDWIDE INC.,CEACU,2004
RED LION HOTELS CORP,WEH.A,2004
"ANESIVA, INC.",CGTK,2004
OMEGA HEALTHCARE INVESTORS INC,OHI.D,2004
BRISTOL WEST HOLDINGS INC,BRW,2004
HILLTOP HOLDINGS INC.,ARC,2004
ATHEROS COMMUNICATIONS INC,ATHR,2004
ALPHASMART INC,ALSM,2004
DAYSTAR TECHNOLOGIES INC,DSTI,2004
SYMBION INC/TN,SMBI,2004
ENTORIAN TECHNOLOGIES INC,STAK,2004
TODCO,THE,2004
RENOVIS INC,RNVS,2004
BAKERS FOOTWEAR GROUP INC,BKRS,2004
ASSET ACCEPTANCE CAPITAL CORP,AACC,2004
ASSURANT INC,AIZ,2004
"ONCTERNAL THERAPEUTICS, INC.",GTXI,2004
ZF TRW AUTOMOTIVE HOLDINGS CORP,TRW,2004
CUTERA INC,CUTR,2004
K-FED BANCORP,KFED,2004
MARCHEX INC,MCHX,2004
ANADYS PHARMACEUTICALS INC,ANDS,2004
HORNBECK OFFSHORE SERVICES INC /LA,HOS,2004
"ULTRA CLEAN HOLDINGS, INC.",UCTT,2004
"CAPLEASE, INC.",LSE,2004
CHINACAST EDUCATION CORP,GWAQU,2004
CHARDAN CHINA ACQUISITION CORP,CAQCU,2004
COHEN & CO INC.,SFO,2004
TERCICA INC,TRCA,2004
TNS INC,TNS,2004
"CYCLACEL PHARMACEUTICALS, INC.",XCYT,2004
SEMICONDUCTOR MANUFACTURING INTERNATIONAL CORP,SMI,2004
TOM ONLINE INC,TOMO,2004
MNC MEDIA INVESTMENT LTD,LTON,2004
CLIFTON SAVINGS BANCORP INC,CSBK,2004
INTERSECTIONS INC,INTX,2004
BARRIER THERAPEUTICS INC,BTRX,2004
CYTOKINETICS INC,CYTK,2004
ASSURED GUARANTY LTD,AGO,2004
SIRF TECHNOLOGY HOLDINGS INC,SIRF,2004
GANDER MOUNTAIN CO,GMTN,2004
PROCENTURY CORP,PROS,2004
IMMUNICON CORP,IMMC,2004
CORCEPT THERAPEUTICS INC,CORT,2004
ARBOR REALTY TRUST INC,ABR,2004
STEEN RIVER OIL & GAS INC.,JDO,2004
MEMORY PHARMACEUTICALS CORP,MEMY,2004
NEWALLIANCE BANCSHARES INC,NABC,2004
SANTARUS INC,SNTS,2004
"ALNYLAM PHARMACEUTICALS, INC.",ALNY,2004
ANGIODYNAMICS INC,ANGO,2004
CORNERSTONE THERAPEUTICS INC,CRTX,2004
REPUBLIC AIRWAYS HOLDINGS INC,RJET,2004
SP PLUS CORP,STAN,2004
ACADIA PHARMACEUTICALS INC,ACAD,2004
GENWORTH FINANCIAL INC,GNW,2004
OBN HOLDINGS INC,OBNH,2004
ANIMAS CORP,PUMP,2004
BLUE NILE INC,NILE,2004
QUANTA CAPITAL HOLDINGS LTD,QNTA,2004
HALCON RESOURCES CORP,TEGYU,2004
SHANDA INTERACTIVE ENTERTAINMENT LTD,SNDA,2004
NUVASIVE INC,NUVA,2004
ARKHAN CORP,ATLS,2004
INFRASOURCE SERVICES INC,IFS,2004
GREENHILL & CO INC,GHL,2004
ORIGEN FINANCIAL INC,ORGN,2004
DESIGN WITHIN REACH INC,DWRI,2004
GPC BIOTECH AG,GPCB,2004
"LIFE TIME FITNESS, INC.",LTM,2004
FIRST CLOVER LEAF FINANCIAL CORP.,FFFS,2004
HOMEX DEVELOPMENT CORP.,HXM,2004
"HILL INTERNATIONAL, INC.",APGOU,2004
CABELAS INC,CAB,2004
MULTI FINELINE ELECTRONIX INC,MFLX,2004
MOTIVE INC,MOTV,2004
NEW YORK MORTGAGE TRUST INC,NTR,2004
"STRATEGIC HOTELS & RESORTS, INC",SLH,2004
XYRATEX GROUP LTD,XRTX,2004
XYRATEX LTD,XRTX,2004
GOL INTELLIGENT AIRLINES INC.,GOL,2004
"SALESFORCE.COM, INC.",CRM,2004
WCA WASTE CORP,WCAA,2004
SENOMYX INC,SNMX,2004
MOMENTA PHARMACEUTICALS INC,MNTA,2004
COLOR KINETICS INC,CLRK,2004
JACKSON HEWITT TAX SERVICE INC,JTX,2004
BLACKBOARD INC,BBBB,2004
"RADIATION THERAPY SERVICES, INC.",RTSX,2004
EOS PREFERRED CORP,CCPCN,2004
"COOL HOLDINGS, INC.",IFO,2004
ADESA INC,KAR,2004
LEADIS TECHNOLOGY INC,LDIS,2004
METABASIS THERAPEUTICS INC,MBRX,2004
DUQUESNE LIGHT CO,DQU.H,2004
DIGIRAD CORP,DRAD,2004
"CBRE GROUP, INC.",CBG,2004
POWERDSINE LTD,PDSN,2004
"INHIBITEX, INC.",INHX,2004
GLOBAL SIGNAL INC,GSL,2004
ENERSYS,ENS,2004
"MORTGAGEIT HOLDINGS, INC.",MHL,2004
VOLTERRA SEMICONDUCTOR CORP,VLTR,2004
MANNKIND CORP,MNKD,2004
GRAMERCY PROPERTY TRUST INC.,GKK,2004
"EDGEWAVE, INC.",SHQCU,2004
TOP SHIPS INC.,TOPT,2004
LUMERA CORP,LMRA,2004
AUXILIUM PHARMACEUTICALS INC,AUXL,2004
BUCYRUS INTERNATIONAL INC,BUCY,2004
BLACKBAUD INC,BLKB,2004
DEX MEDIA INC,DEX,2004
"LG DISPLAY CO., LTD.",LPL,2004
IDENIX PHARMACEUTICALS INC,IDIX,2004
KANBAY INTERNATIONAL INC,KBAY,2004
"NEUROMETRIX, INC.",NURO,2004
MCCORMICK & SCHMICKS SEAFOOD RESTAURANTS INC.,MSSR,2004
M WISE INC,MWIS,2004
VIRGIN MEDIA INC.,TLWT,2004
