comnam,ticker,filingYr
"VERASTEM, INC.",VSTM,2012
"GUIDEWIRE SOFTWARE, INC.",GWRE,2012
"RENEWABLE ENERGY GROUP, INC.",REGI,2012
"HOME LOAN SERVICING SOLUTIONS, LTD.",HLSS,2012
PROTO LABS INC,PRLB,2012
"EVERYWARE GLOBAL, INC.",ROIQU,2012
BAZAARVOICE INC,BV,2012
"CERES, INC.",CERE,2012
BRIGHTCOVE INC,BCOV,2012
"HOMESTREET, INC.",HMST,2012
"GSE HOLDING, INC.",GSE,2012
"SYNACOR, INC.",SYNC,2012
FX ALLIANCE INC.,FX,2012
"ROUNDY'S, INC.",RNDY,2012
"CHEMOCENTRYX, INC.",CCXI,2012
CEMENTOS PACASMAYO SAA,CPAC,2012
CAESARS ENTERTAINMENT CORP,CZR,2012
"EPAM SYSTEMS, INC.",EPAM,2012
"MELINTA THERAPEUTICS, INC. /NEW/",CEMP,2012
AVG TECHNOLOGIES N.V.,AVG,2012
GREENWAY MEDICAL TECHNOLOGIES INC,GWAY,2012
MATADOR RESOURCES CO,MTDR,2012
"U.S. SILICA HOLDINGS, INC.",SLCA,2012
"ENPHASE ENERGY, INC.",ENPH,2012
GASLOG LTD.,GLOG,2012
MERRIMACK PHARMACEUTICALS INC,MACK,2012
MILLENNIAL MEDIA INC.,MM,2012
CAFEPRESS INC.,PRSS,2012
REXNORD CORP,RXN,2012
REGIONAL MANAGEMENT CORP.,RM,2012
"ANNIE'S, INC.",BNNY,2012
TEUCRIUM COMMODITY TRUST,TAGS,2012
"VOCERA COMMUNICATIONS, INC.",VCRA,2012
VIPSHOP HOLDINGS LTD,VIPS,2012
WHITING PETROLEUM CORP,WHZ,2012
"WORLDPAY, INC.",VNTV,2012
CAESARSTONE LTD.,CSTE,2012
"EXACTTARGET, INC.",ET,2012
BGS ACQUISITION CORP.,BGSCU,2012
TECNOGLASS INC.,ANDAU,2012
ALLISON TRANSMISSION HOLDINGS INC,ALSN,2012
DEMANDWARE INC,DWRE,2012
"MACOM TECHNOLOGY SOLUTIONS HOLDINGS, INC.",MTSI,2012
"MOJO DATA SOLUTIONS, INC.",AUTT,2012
NATIONSTAR MORTGAGE HOLDINGS INC.,NSM,2012
SELECT INCOME REIT,SIR,2012
YELP INC,YELP,2012
"AMERICAN REALTY CAPITAL TRUST, INC.",ARCT,2012
ACQUITY GROUP LTD,AQ,2012
EDGEN GROUP INC.,EDG,2012
ARES COMMERCIAL REAL ESTATE CORP,ACRE,2012
ENVIVIO INC,ENVI,2012
CLEARSIGN COMBUSTION CORP,CLIR,2012
INFOBLOX INC,BLOX,2012
"GREEN BALLAST, INC.",GBLL,2012
AMPLIFY ENERGY CORP.,MPO,2012
PROOFPOINT INC,PFPT,2012
SPLUNK INC,SPLK,2012
"TUMI HOLDINGS, INC.",TUMI,2012
SANDRIDGE ENERGY INC,SDR,2012
DIGITAL CINEMA DESTINATIONS CORP.,DCIN,2012
MRC GLOBAL INC.,MRC,2012
"FORUM ENERGY TECHNOLOGIES, INC.",FET,2012
"OAKTREE CAPITAL GROUP, LLC",OAK,2012
ERICKSON INC.,EAC,2012
REDEFY CORPORATION,MSGO,2012
"RETAIL PROPERTIES OF AMERICA, INC.",RPAI,2012
FACEBOOK INC,FB,2012
EDWARDS GROUP LTD,EVAC,2012
"IGNITE RESTAURANT GROUP, INC.",IRG,2012
AUDIENCE INC,ADNC,2012
"WAGEWORKS, INC.",WAGE,2012
WESTERN ASSET MORTGAGE CAPITAL CORP,WMC,2012
"REZOLUTE, INC.",FMYY,2012
"TILLY'S, INC.",TLYS,2012
PETROLOGISTICS LP,PDH,2012
PACIFIC COAST OIL TRUST,ROYT,2012
CARLYLE GROUP L.P.,CG,2012
"TIAA FSB HOLDINGS, INC.",EVER,2012
"SUPERNUS PHARMACEUTICALS, INC.",SUPN,2012
"SERVICENOW, INC.",NOW,2012
"TESARO, INC.",TSRO,2012
EXA CORP,EXA,2012
"EQM MIDSTREAM PARTNERS, LP",EQM,2012
CENCOSUD S.A.,CNCO,2012
STREAM EXCHANGE TRADED TRUST,BNPC,2012
GLOBAL GREEN INC.,GOGC,2012
"AMREIT, INC.",AMRE,2012
"DEL FRISCO'S RESTAURANT GROUP, INC.",DFRG,2012
E2OPEN INC,EOPN,2012
HYPERION THERAPEUTICS INC,HPTX,2012
NORTHERN TIER ENERGY LP,NTI,2012
"NATURAL GROCERS BY VITAMIN COTTAGE, INC.",NGVC,2012
EUROSITE POWER INC.,EUSP,2012
"CHUY'S HOLDINGS, INC.",CHUY,2012
PALO ALTO NETWORKS INC,PANW,2012
INFINITY CROSS BORDER ACQUISITION CORP,INXBU,2012
KAYAK SOFTWARE CORP,KYAK,2012
"VAPORIN, INC.",VGLD,2012
"DURATA THERAPEUTICS, INC.",DRTX,2012
"FIVE BELOW, INC",FIVE,2012
"FS BANCORP, INC.",FSBW,2012
VYCOR MEDICAL INC,VYCO,2012
HI-CRUSH INC.,HCLP,2012
MANCHESTER UNITED PLC,MANU,2012
PERFORMANT FINANCIAL CORP,PFMT,2012
PEREGRINE SEMICONDUCTOR CORP,PSMI,2012
"BLOOMIN' BRANDS, INC.",BLMN,2012
GLOBUS MEDICAL INC,GMED,2012
"ELOQUA, INC.",ELOQ,2012
HYDE PARK ACQUISITION CORP. II,HPAC,2012
"QUALYS, INC.",QLYS,2012
"SUMMIT MIDSTREAM PARTNERS, LP",SMLP,2012
"SANTANDER MEXICO FINANCIAL GROUP, S.A.B. DE C.V.",BSMX,2012
CAPITAL BANK FINANCIAL CORP.,CBF,2012
NATIONAL BANK HOLDINGS CORP,NBHC,2012
"SPIRIT REALTY CAPITAL, INC.",SRC,2012
SUNOCO LP,SUSP,2012
"TRULIA, INC.",TRLA,2012
"ENDEAVOR IP, INC.",FNTU,2012
KBS FASHION GROUP LTD,AQUUU,2012
NUVEEN LONG/SHORT COMMODITY TOTAL RETURN FUND,CTF,2012
MPLX LP,MPLX,2012
WHITEWAVE FOODS CO,WWAV,2012
