comnam,ticker,filingYr
TARGA PIPELINE PARTNERS LP,APL,2000
ASPECT MEDICAL SYSTEMS INC,ASPM,2000
CAMINUS CORP,CAMZ,2000
INTERWAVE COMMUNICATIONS INTERNATIONAL LTD,IWAV,2000
L90 INC,LNTY,2000
NATCO GROUP INC,NTG,2000
PACKAGING CORP OF AMERICA,PKG,2000
STATS CHIPPAC LTD.,STTS,2000
724 SOLUTIONS INC,SVNX,2000
HANCOCK JOHN FINANCIAL SERVICES INC,JHF,2000
EXTENSITY INC,EXTN,2000
HEALTHGATE DATA CORP,HGAT,2000
T/R SYSTEMS INC,TRSI,2000
"TOWNSQUARE MEDIA, INC.",RGCI,2000
NEOFORMA INC,NEOF,2000
TALISMAN ENTERPRISE INC,BATT,2000
SECURITY FINANCIAL BANCORP INC,SFBI,2000
AQUANTIVE INC,AVEA,2000
NIKU CORP,NIKU,2000
NET GENESIS CORP,NTGX,2000
PROVIDENT BANKSHARES CORP,PBKSP,2000
HOTELS COM,ROOM,2000
DIGITALTHINK INC,DTHK,2000
INTERSIL CORP/DE,ISIL,2000
CARRIER1 INTERNATIONAL S A,CONE,2000
NEXTEL PARTNERS INC,NXTP,2000
EZ AUCTIONS & SHIPPING INC,SFTY,2000
WESTBOROUGH FINANCIAL SERVICES INC,WFSI,2000
INFORTE CORP,INFT,2000
ELOQUENT INC,ELOQ,2000
CHOICE ONE COMMUNICATIONS INC,CWON,2000
APROPOS TECHNOLOGY INC,APRS,2000
LIFEQUEST WORLD CORP,JCWW,2000
LENDINGTREE INC,TREE,2000
STARDRIVE SOLUTIONS INC,SNHK,2000
"SAVVIS, INC.",SVVS,2000
VANTAGEMED CORP,VMDC,2000
VARSITY GROUP INC,VSTY,2000
JEREMYS MICROBATCH ICE CREAMS INC,JMIC,2000
"ERBA DIAGNOSTICS, INC.",BTBC,2000
CHORDIANT SOFTWARE INC,CHRD,2000
VERENIUM CORP,DVSA,2000
BEASLEY BROADCAST GROUP INC,BBGI,2000
IPET HOLDINGS INC,IPET,2000
LANTE CORP,LNTE,2000
FARGO ELECTRONICS INC,FRGO,2000
FLAG TELECOM GROUP LTD,FTHL,2000
WEBMETHODS INC,WEBM,2000
VIA NET WORKS INC,VNWI,2000
WITNESS SYSTEMS INC,WITS,2000
QUOVADX INC,XCAR,2000
"ACCESS PLANS USA, INC.",PCIS,2000
ORGANIC INC,OGNC,2000
LIGHTSPAN INC,LSPN,2000
CYPRESS COMMUNICATIONS INC,CYCO,2000
LANDACORP INC,LCOR,2000
DELANO TECHNOLOGY CORP,DTEC,2000
VICINITY CORP,VCNT,2000
FN ESTATE INC,FSST,2000
BUY COM INC,BUYX,2000
AIMS WORLDWIDE INC,AMWW,2000
AGENUS INC,AGEN,2000
AVANEX CORP,AVNX,2000
DOBSON COMMUNICATIONS CORP,DCEL,2000
EMERGE INTERACTIVE INC,EMRG,2000
"INVENTERGY GLOBAL, INC.",EONC,2000
FIREPOND INC,FIRE,2000
MEDIACOM COMMUNICATIONS CORP,MCCC,2000
"WQN, INC.",WQNI,2000
THERMA WAVE INC,TWAV,2000
CENTRA SOFTWARE INC,CTRA,2000
ALAMOSA DELAWARE INC,APCS,2000
PROXIM WIRELESS CORP,TLXS,2000
SEQUENOM INC,SQNM,2000
TURNSTONE SYSTEMS INC,TSTN,2000
QUANTUM EFFECT DEVICES INC,QEDI,2000
SKILLSOFT CORP,SKIL,2000
IMPSAT FIBER NETWORKS INC,IMPT,2000
ARROWPOINT COMMUNICATIONS INC,ARPT,2000
IMAGEWARE SYSTEMS INC,IW,2000
"CONVERSANT, INC.",VCLK,2000
LUMINEX CORP,LMNX,2000
PEOPLES COMMUNITY BANCORP INC /MD/,PCBI,2000
DIRECTV BROADBAND INC,TLCT,2000
NEW DRAGON ASIA CORP,SEA,2000
WEBSENSE INC,WBSN,2000
MOLDFLOW CORP,MFLO,2000
ARTISTDIRECT INC,ARTD,2000
ALLOS THERAPEUTICS INC,ALTH,2000
COMPLETEL EUROPE NV,CLTL,2000
ICICI BANK LTD,IBN,2000
"ARDEA BIOSCIENCES, INC./DE",IBPI,2000
EMACHINES INC /DE/,EEEE,2000
EPRISE CORP,EPRS,2000
DIGITAL LIGHTHOUSE CORP,ETIN,2000
INTERMUNE INC,ITMN,2000
SILICON LABORATORIES INC.,SLAB,2000
VIASYSTEMS GROUP INC,VG,2000
BLAZE SOFTWARE INC,BLZE,2000
INSILICON CORP,INSN,2000
PARTSBASE  INC,PRTS,2000
IGN ENTERTAINMENT INC,SNOW,2000
SCO GROUP INC,CALD,2000
ACLARA BIOSCIENCES INC,ACLA,2000
INTEGRATED INFORMATION SYSTEMS INC,IISX,2000
TIPPINGPOINT TECHNOLOGIES INC,NPLI,2000
UAGH INC,UAXS,2000
UPROAR INC,UPRO,2000
IMPROVENET INC,IMPV,2000
ACTIVCARD SA,ACTI,2000
AS-IP TECH INC,ASIQ,2000
LOUDEYE CORP,LOUD,2000
LENCO MOBILE INC.,SHOC,2000
RADVISION LTD,RVSN,2000
"COSTAR TECHNOLOGIES, INC.",FAIM,2000
DIGITAS INC,DTAS,2000
HOMEGROCER COM INC,HOMG,2000
OTG SOFTWARE INC,OTGS,2000
"DETERMINE, INC.",SLTC,2000
ORAPHARMA INC,OPHM,2000
IPRINT TECHNOLOGIES INC,IPRT,2000
VERADO HOLDINGS INC,FWIS,2000
NET2000 COMMUNICATIONS INC,NTKK,2000
IFCO SYSTEMS NV,IFCO,2000
"ASIAINFO-LINKAGE, INC",ASIA,2000
PRIME RESPONSE INC/DE,PRME,2000
REGISTER COM INC,RCOM,2000
UTSTARCOM HOLDINGS CORP.,UTSI,2000
VERSATA INC,VATA,2000
SWITCHBOARD INC,SWBD,2000
CONNECTICUT BANCSHARES INC/DE,SBMC,2000
PALM INC,PALM,2000
ONVIA INC,ONVI,2000
MATRIXONE INC,MONE,2000
ON SEMICONDUCTOR CORP,ONNN,2000
SEEBEYOND TECHNOLOGY CORP,STCS,2000
PRAECIS PHARMACEUTICALS INC,PRCS,2000
METAWAVE COMMUNICATIONS CORP,MTWV,2000
STRATUS SERVICES GROUP INC,SERV,2000
ROCKFORD CORP,ROFO,2000
PACKARD BIOSCIENCE CO,PBSC,2000
PEC SOLUTIONS INC,PECS,2000
360NETWORKS INC,TSIX,2000
EMBARCADERO TECHNOLOGIES INC,EMBT,2000
FIRST FEDERAL OF OLATHE BANCORP INC,FFOL,2000
NUANCE COMMUNICATIONS,NUAN,2000
CORILLIAN CORP,CORI,2000
PORT FINANCIAL CORP,PORT,2000
DDI CORP,DDIC,2000
"EXELIXIS, INC.",EXEL,2000
HEALTHSTREAM INC,HSTM,2000
"PURPLE COMMUNICATIONS, INC.",GOAM,2000
ARTEMIS INTERNATIONAL SOLUTIONS CORP,OPUS,2000
NUMERICAL TECHNOLOGIES INC,NMTC,2000
"LEXICON PHARMACEUTICALS, INC.",LEXG,2000
LIVEPERSON INC,LPSN,2000
SABA SOFTWARE INC,SABA,2000
TANOX INC,TNOX,2000
"SANGAMO THERAPEUTICS, INC",SGMO,2000
I3 MOBILE INC,IIIM,2000
KRISPY KREME DOUGHNUTS INC,KREM,2000
EAGLE BANCORP/MT,EBMT,2000
METLIFE INC,MET,2000
ORATEC INTERVENTIONS INC,OTEC,2000
"ULTICOM, INC",ULCM,2000
