comnam,ticker,filingYr
AQUAPENN SPRING WATER COMPANY INC,APN,1998
MERCURY SYSTEMS INC,MRCY,1998
VERISIGN INC/CA,VRSN,1998
SM&A,WINS,1998
MERGE HEALTHCARE INC,MRGE,1998
JPS INDUSTRIES INC,JPST,1998
KEEBLER FOODS CO,KBL,1998
CAREER EDUCATION CORP,CECO,1998
HAWKER PACIFIC AEROSPACE,HPAC,1998
TARPON COAST BANCORP INC,TCBA,1998
"ROCKWELL MEDICAL, INC.",RMTI,1998
"IES HOLDINGS, INC.",IEE,1998
"TALON INTERNATIONAL, INC.",TAG,1998
STANDARD AUTOMOTIVE CORP,AJX,1998
800 TRAVEL SYSTEMS INC,IFLY,1998
TIMBERLAND BANCORP INC,TSBK,1998
MYSTIC FINANCIAL INC,MYST,1998
HERITAGE FINANCIAL CORP /WA/,HFWA,1998
DIVERSIFIED SENIOR SERVICES INC,DISS,1998
FINANTRA CAPITAL INC,FANT,1998
WYMAN PARK BANCORPORATION INC,WPBC,1998
UNITED TENNESSEE BANKSHARES INC,UTBI,1998
CHAPMAN HOLDINGS INC,CMAN,1998
SFSB HOLDING CO,SFSH,1998
STEAKHOUSE PARTNERS INC,SIZL,1998
"ASSOCIATED MATERIALS, LLC",SIDE,1998
GLOBALDIGITALCOMMERCE COM INC,CTWO,1998
DOCUCORP INTERNATIONAL INC,DOCC,1998
SHOE PAVILION INC,SHOE,1998
MIDWEST BANC HOLDINGS INC,MBHI,1998
NUTRACEUTICAL INTERNATIONAL CORP,NUTR,1998
DOUBLECLICK INC,DCLK,1998
AMBIENT CORP /NY,ABTG,1998
GENEVA FINANCIAL CORP,PFC,1998
STEELCASE INC,SCS,1998
FIRST CONSULTING GROUP INC,FCGI,1998
ICON CMT CORP,ICMT,1998
MICROMUSE INC,MUSE,1998
SYMPHONIX DEVICES INC,SMPX,1998
AMERICAN SAFETY INSURANCE HOLDINGS LTD,AMSFF,1998
ASTROPOWER INC,APWR,1998
ACCESS WORLDWIDE COMMUNICATIONS INC,CAWW,1998
BALANCED CARE CORP,BAL,1998
"QUANTA SERVICES, INC.",PWR,1998
WORLDPAGES COM INC,ADG,1998
MED-EMERG INTERNATIONAL INC,MDERF,1998
"PROVINCE HEALTHCARE COMPANY, LLC",PRHC,1998
BIRNER DENTAL MANAGEMENT SERVICES INC,BDMS,1998
CDNOW INC,CDNW,1998
DUANE READE INC,DRD,1998
CRUSADER HOLDING CORP,CRSB,1998
1 800 CONTACTS INC,CTAC,1998
TAM RESTAURANTS INC,TAMR,1998
DISPATCH MANAGEMENT SERVICES CORP,DMSC,1998
ACSYS INC,ACSY,1998
VISUAL NETWORKS INC,VNWK,1998
VYSIS INC,VYSI,1998
CONDOR TECHNOLOGY SOLUTIONS INC,CNDR,1998
GLOBAL TELESYSTEMS INC,GTSG,1998
HEADLANDS MORTGAGE CO,HDLD,1998
MILLER EXPLORATION CO,MEXP,1998
USN COMMUNICATIONS INC,USNC,1998
BMJ MEDICAL MANAGEMENT INC,BONSQ,1998
ARTISAN COMPONENTS INC,ARTI,1998
BAY STATE BANCORP INC,BYS,1998
