comnam,ticker,filingYr
WORLD GOLD TRUST,GLDW,2017
JAGGED PEAK ENERGY INC.,JAG,2017
"JELD-WEN HOLDING, INC.",JELD,2017
"JOUNCE THERAPEUTICS, INC.",JNCE,2017
"REV GROUP, INC.",REVG,2017
OBSEVA SA,OBSV,2017
"ANAPTYSBIO, INC",ANAB,2017
"INTERNATIONAL MONEY EXPRESS, INC.",FNTEU,2017
"KEANE GROUP, INC.",FRAC,2017
VERRA MOBILITY CORP,GSHTU,2017
CLIPPER REALTY INC.,CLPR,2017
"FOUNDATION BUILDING MATERIALS, INC.",FBM,2017
SACHEM CAPITAL CORP.,SACH,2017
"RAMACO RESOURCES, INC.",METC,2017
"KIMBELL ROYALTY PARTNERS, LP",KRP,2017
"LAUREATE EDUCATION, INC.",LAUR,2017
INVITATION HOMES INC.,INVH,2017
ALTUS MIDSTREAM CO,KAACU,2017
"ALTERYX, INC.",AYX,2017
"ALTA MESA RESOURCES, INC. /DE",SRUNU,2017
VALERITAS HOLDINGS INC.,VLRX,2017
THERAPIX BIOSCIENCES LTD.,TRPX,2017
PROPETRO HOLDING CORP.,PUMP,2017
"MULESOFT, INC",MULE,2017
ARDAGH GROUP S.A.,ARD,2017
"PRESIDIO, INC.",PSDO,2017
"U.S. WELL SERVICES, INC.",MPACU,2017
"J.JILL, INC.",JILL,2017
BEYONDSPRING INC.,BYSI,2017
SNAP INC,SNAP,2017
HAMILTON LANE INC,HLNE,2017
"CLOUDERA, INC.",CLDR,2017
CARVANA CO.,CVNA,2017
"EMERALD EXPOSITIONS EVENTS, INC.",EEX,2017
"NCS MULTISTAGE HOLDINGS, INC.",NCSM,2017
CHINA RAPID FINANCE LTD,XRF,2017
ZYMEWORKS INC.,ZYME,2017
VERONA PHARMA PLC,VRNA,2017
"FLOOR & DECOR HOLDINGS, INC.",FND,2017
"CATASYS, INC.",CATS,2017
"SELECT ENERGY SERVICES, INC.",WTTR,2017
TOCAGEN INC,TOCA,2017
CADENCE BANCORPORATION,CADE,2017
"WARRIOR MET COAL, INC.",HCC,2017
"YEXT, INC.",YEXT,2017
NETSHOES (CAYMAN) LTD.,NETS,2017
VANTAGE ENERGY ACQUISITION CORP.,VEACU,2017
"OKTA, INC.",OKTA,2017
"CONVERGEONE HOLDINGS, INC.",FMCIU,2017
"SCHNEIDER NATIONAL, INC.",SNDR,2017
"ELEVATE CREDIT, INC.",ELVT,2017
HESS MIDSTREAM PARTNERS LP,HESM,2017
APPIAN CORP,APPN,2017
"WIDEOPENWEST, INC.",WOW,2017
"SMART GLOBAL HOLDINGS, INC.",SGH,2017
ARGENX SE,ARGX,2017
BRIGHT SCHOLAR EDUCATION HOLDINGS LTD,BEDU,2017
"G1 THERAPEUTICS, INC.",GTHX,2017
MODERN MEDIA ACQUISITION CORP.,MMDMU,2017
"SOLARIS OILFIELD INFRASTRUCTURE, INC.",SOI,2017
"ASV HOLDINGS, INC.",ASV,2017
"GARDNER DENVER HOLDINGS, INC.",GDI,2017
"VERITONE, INC.",VERI,2017
NATIONAL ENERGY SERVICES REUNITED CORP.,NESRU,2017
"FIVE POINT HOLDINGS, LLC",FPH,2017
GUARANTY BANCSHARES INC /TX/,GNTY,2017
ENDRA LIFE SCIENCES INC.,NDRAU,2017
KKR REAL ESTATE FINANCE TRUST INC.,KREF,2017
MAGNOLIA OIL & GAS CORP,TPGEU,2017
OVID THERAPEUTICS INC.,OVID,2017
UROGEN PHARMA LTD.,URGN,2017
ANTERO MIDSTREAM CORP,AMGP,2017
