comnam,ticker,filingYr
DFC GLOBAL CORP.,DLLR,2005
NATIONAL INTERSTATE CORP,NATL,2005
W&T OFFSHORE INC,WTI,2005
"OPTIONSXPRESS HOLDINGS, INC.",OXPS,2005
"EDUCATION REALTY TRUST, INC.",EDR,2005
GFI GROUP INC.,GFIG,2005
CELANESE CORP,CE,2005
"SEABRIGHT HOLDINGS, INC.",SEAB,2005
VIACELL INC,VIAC,2005
"CECORS, INC.",FDRA,2005
COUSINS PROPERTIES INC,CUZ.B,2005
"AVANTAIR, INC",AACQU,2005
KEARNY FINANCIAL CORP.,KRNY,2005
ALDABRA ACQUISITION CORP,ALBAU,2005
"DOLBY LABORATORIES, INC.",DLB,2005
COASTAL BANCSHARES ACQUISITION CORP.,CBASU,2005
WEX INC.,WXS,2005
ODIMO INC,ODMO,2005
"MANITEX INTERNATIONAL, INC.",VCC,2005
"FUSION CONNECT, INC.",FSN,2005
ECC CAPITAL CORP,ECR,2005
"ALPHA NATURAL RESOURCES, INC./OLD",ANR,2005
"VIVID LEARNING SYSTEMS, INC.",VVDL,2005
"UNIVERSAL LOGISTICS HOLDINGS, INC.",UACL,2005
HUNTSMAN CORP,HUN,2005
"HILAND PARTNERS HOLDINGS, LLC",HLND,2005
PRESTIGE CONSUMER HEALTHCARE INC.,PBH,2005
SYNIVERSE HOLDINGS INC,SVR,2005
"WINDSTREAM HOLDINGS, INC.",VCG,2005
TRI-S SECURITY CORP,TRISU,2005
"FTD GROUP, INC.",FTD,2005
EMAGEON INC,EMAG,2005
"GRAVITY CO., LTD.",GRVY,2005
"MOLECULAR TEMPLATES, INC.",THLD,2005
"ARC DOCUMENT SOLUTIONS, INC.",ARP,2005
FAIRPOINT COMMUNICATIONS INC,FRP,2005
"KU6 MEDIA CO., LTD",HRAY,2005
ICAGEN INC,ICGN,2005
FIELDSTONE INVESTMENT CORP,FICC,2005
DRYSHIPS INC.,DRYS,2005
"MMRGLOBAL, INC.",FVRL,2005
ROME BANCORP INC,ROMED,2005
PRUDENTIAL BANCORP INC OF PENNSYLVANIA,PBIP,2005
DIANA SHIPPING INC.,DSX,2005
PANAMSAT HOLDING CORP,PA,2005
