comnam,ticker,filingYr
"CHINA ELECTRIC MOTOR, INC.",CELM,2010
IFM INVESTMENTS LTD,CTC,2010
ANDATEE CHINA MARINE FUEL SERVICES CORP,AMCF,2010
CHINA HYDROELECTRIC CORP,CHC,2010
CHESAPEAKE LODGING TRUST,CHSP,2010
"CELLU TISSUE HOLDINGS, INC.",CLU,2010
SYMETRA FINANCIAL CORP,SYA,2010
SPROTT PHYSICAL GOLD TRUST,PHYS,2010
"ENSIGN SERVICES, INC.",ESVC,2010
GENERAC HOLDINGS INC.,GNRC,2010
GRAHAM PACKAGING CO INC.,GRM,2010
"QUINSTREET, INC",QNST,2010
TERRENO REALTY CORP,TRNO,2010
"PIEDMONT OFFICE REALTY TRUST, INC.",PDM,2010
IRONWOOD PHARMACEUTICALS INC,IRWD,2010
MERU NETWORKS INC,MERU,2010
SS&C TECHNOLOGIES HOLDINGS INC,SSNC,2010
SCORPIO TANKERS INC.,STNG,2010
HUAZHU GROUP LTD,HTHT,2010
CORMEDIX INC.,CRMD,2010
FIRST INTERSTATE BANCSYSTEM INC,FIBK,2010
"CALIX, INC",CALX,2010
MAXLINEAR INC,MXL,2010
"FINANCIAL ENGINES, LLC",FNGN,2010
CRUDE CARRIERS CORP.,CRU,2010
AVEO PHARMACEUTICALS INC,AVEO,2010
SENSATA TECHNOLOGIES HOLDING PLC,ST,2010
BALTIC TRADING LTD,BALT,2010
ANTHERA PHARMACEUTICALS INC,ANTH,2010
PAA NATURAL GAS STORAGE LP,PNG,2010
"CONVIO, INC.",CNVO,2010
ALPHA & OMEGA SEMICONDUCTOR LTD,AOSL,2010
"EXCEL TRUST, INC.",EXL,2010
GLOBAL GEOPHYSICAL SERVICES INC,GGS,2010
"EPCYLON TECHNOLOGIES, INC.",LOTI,2010
MITEL NETWORKS CORP,MITL,2010
"CODEXIS, INC.",CDXS,2010
ALIMERA SCIENCES INC,ALIM,2010
LIANLUO SMART LTD,DHRM,2010
DYNAVOX INC.,DVOX,2010
SPS COMMERCE INC,SPSC,2010
MUSCLEPHARM CORP,TTWZ,2010
REACHLOCAL INC,RLOC,2010
R1 RCM INC.,AH,2010
CHATHAM LODGING TRUST,CLDT,2010
METALS USA HOLDINGS CORP.,MUSA,2010
TENGION INC,TNGN,2010
"PRIMERICA, INC.",PRI,2010
"GENMARK DIAGNOSTICS, INC.",GNMK,2010
KEYNES TECHNOLOGY CO LTD,GLMB,2010
"CRUMBS BAKE SHOP, INC.",SQTCU,2010
NORANDA ALUMINUM HOLDING CORP,NOR,2010
"JINKOSOLAR HOLDING CO., LTD.",JKS,2010
LUOKUNG TECHNOLOGY CORP.,KONE,2010
"EXPRESS, INC.",EXPR,2010
"ROADRUNNER TRANSPORTATION SYSTEMS, INC.",RRTS,2010
"TELENAV, INC.",TNAV,2010
NISKA GAS STORAGE PARTNERS LLC,NKA,2010
CHARM COMMUNICATIONS INC.,CHRM,2010
"DOUGLAS DYNAMICS, INC",PLOW,2010
S&W SEED CO,SANWU,2010
PREDICTIVE ONCOLOGY INC.,BIOR,2010
PACTERA TECHNOLOGY INTERNATIONAL LTD.,HSFT,2010
"TESLA, INC.",TSLA,2010
FABRINET,FN,2010
"HUDSON PACIFIC PROPERTIES, INC.",HPP,2010
"XPRESSPA GROUP, INC.",VRNGU,2010
MOTRICITY INC,MOTR,2010
"CHINA INTELLIGENT LIGHTING & ELECTRONICS, INC.",CIL,2010
OASIS PETROLEUM INC.,OAS,2010
"HIGHER ONE HOLDINGS, INC.",ONE,2010
"BROADSOFT, INC.",BSFT,2010
"CBOE GLOBAL MARKETS, INC.",CBOE,2010
CHINA NEW BORUN CORP,BORN,2010
TEUCRIUM COMMODITY TRUST,CORN,2010
GHN AGRISPAN HOLDING CO,GHNA,2010
"UNITED STATES BRENT OIL FUND, LP",BNO,2010
WILLIAMS PARTNERS L.P.,CHKM,2010
"ENVESTNET, INC.",ENV,2010
"MOLYCORP, INC.",MCP,2010
GREEN DOT CORP,GDOT,2010
"AMERESCO, INC.",AMRC,2010
CAMELOT INFORMATION SYSTEMS INC.,CIS,2010
BIQI INTERNATIONAL HOLDINGS CORP,OINK,2010
QLIK TECHNOLOGIES INC,QLIK,2010
REALD INC.,RLD,2010
SMART TECHNOLOGIES INC.,SMT,2010
"WESTMORELAND RESOURCE PARTNERS, LP",OXF,2010
ENERGY CORP OF AMERICA,ECT,2010
AUTONAVI HOLDINGS LTD,AMAP,2010
WHITESTONE REIT,WSR,2010
"ELECTROMED, INC.",ELMD,2010
MAKEMYTRIP LTD,MMYT,2010
REALPAGE INC,RP,2010
CHINA KANGHUI HOLDINGS,KH,2010
