comnam,ticker,filingYr
"HUMANIGEN, INC",KBIO,2013
"TRI POINTE GROUP, INC.",TPH,2013
GLADSTONE LAND CORP,LAND,2013
STEMLINE THERAPEUTICS INC,STML,2013
BRIGHT HORIZONS FAMILY SOLUTIONS INC.,BFAM,2013
LIPOSCIENCE INC,LPDX,2013
NORWEGIAN CRUISE LINE HOLDINGS LTD.,NCLH,2013
CYRUSONE INC.,CONE,2013
"SUNCOKE ENERGY PARTNERS, L.P.",SXCP,2013
"CVR REFINING, LP",CVRR,2013
"USA COMPRESSION PARTNERS, LP",USAC,2013
"ARCH THERAPEUTICS, INC.",AAHC,2013
XOOM CORP,XOOM,2013
"ORCHID ISLAND CAPITAL, INC.",ORC,2013
INVESCO CURRENCYSHARES SINGAPORE DOLLAR TRUST,FXSG,2013
"ATLAS FINANCIAL HOLDINGS, INC.",AFH,2013
"CONNECTONE BANCORP, INC.",CNOB,2013
"HEALTH INSURANCE INNOVATIONS, INC.",HIIQ,2013
NEW SOURCE ENERGY PARTNERS L.P.,NSLP,2013
READY CAPITAL CORP,ZFC,2013
EXONE CO,XONE,2013
BOISE CASCADE CO,BCC,2013
ZOETIS INC.,ZTS,2013
PINNACLE FOODS INC.,PF,2013
"NV5 GLOBAL, INC.",NVEEU,2013
"HUNT COMPANIES FINANCE TRUST, INC.",OAKS,2013
"ZAIS GROUP HOLDINGS, INC.",HTWO,2013
MARIN SOFTWARE INC,MRIN,2013
WEST CORP,WSTC,2013
"AVIV REIT, INC.",AVIV,2013
ENANTA PHARMACEUTICALS INC,ENTA,2013
"MODEL N, INC.",MODN,2013
TETRAPHASE PHARMACEUTICALS INC,TTPH,2013
"ITRON NETWORKED SOLUTIONS, INC.",SSNI,2013
ARTISAN PARTNERS ASSET MANAGEMENT INC.,APAM,2013
"PROFESSIONAL DIVERSITY NETWORK, INC.",IPDN,2013
"BLACKHAWK NETWORK HOLDINGS, INC",HAWK,2013
"SEAWORLD ENTERTAINMENT, INC.",SEAS,2013
TAMINCO CORP,TAM,2013
INTELSAT S.A.,I,2013
"HANNON ARMSTRONG SUSTAINABLE INFRASTRUCTURE CAPITAL, INC.",HASI,2013
FAIRWAY GROUP HOLDINGS CORP,FWM,2013
"EVERTEC, INC.",EVTC,2013
"PRIVILEGED WORLD TRAVEL CLUB, INC.",PVCL,2013
RALLY SOFTWARE DEVELOPMENT CORP,RALY,2013
"OMTHERA PHARMACEUTICALS, INC.",OMTH,2013
CHIMERIX INC,CMRX,2013
KNOT OFFSHORE PARTNERS LP,KNOP,2013
TAYLOR MORRISON HOME CORP,TMHC,2013
"PULSE EVOLUTION GROUP, INC.",BTOP,2013
"CANCER GENETICS, INC",CGIX,2013
"INDEPENDENT BANK GROUP, INC.",IBTX,2013
"EPIZYME, INC.",EPZM,2013
KAMADA LTD,KMDA,2013
