comnam,ticker,filingYr
"CENTENNIAL RESOURCE DEVELOPMENT, INC.",SRAQU,2016
"PROTEOSTASIS THERAPEUTICS, INC.",PTI,2016
"AVEXIS, INC.",AVXS,2016
"BEIGENE, LTD.",BGNE,2016
"EDITAS MEDICINE, INC.",EDIT,2016
"CORVUS PHARMACEUTICALS, INC.",CRVS,2016
"SENSEONICS HOLDINGS, INC.",SENS,2016
HUTCHISON CHINA MEDITECH LTD,HCM,2016
ROSEHILL RESOURCES INC.,KLREU,2016
"PECK CO HOLDINGS, INC.",JSYNU,2016
SYNDAX PHARMACEUTICALS INC,SNDX,2016
"GLOBAL WATER RESOURCES, INC.",GWRS,2016
PAVMED INC.,PAVMU,2016
"RED ROCK RESORTS, INC.",RRR,2016
YINTECH INVESTMENT HOLDINGS LTD,YIN,2016
SECUREWORKS CORP,SCWX,2016
"AMERICAN RENAL ASSOCIATES HOLDINGS, INC.",ARA,2016
MGM GROWTH PROPERTIES LLC,MGP,2016
"AEGLEA BIOTHERAPEUTICS, INC.",AGLE,2016
DATASEA INC.,DTSS,2016
"COTIVITI HOLDINGS, INC.",COTV,2016
GMS INC.,GMS,2016
WAITR HOLDINGS INC.,LCAHU,2016
REATA PHARMACEUTICALS INC,RETA,2016
US FOODS HOLDING CORP.,USFD,2016
"MIDLAND STATES BANCORP, INC.",MSBI,2016
FGL HOLDINGS,CFCOU,2016
MERUS N.V.,MRUS,2016
REIGN SAPPHIRE CORP,RGNP,2016
GRUPO SUPERVIELLE S.A.,SUPV,2016
"PULSE BIOSCIENCES, INC.",PLSE,2016
"PHASERX, INC.",PZRX,2016
"OUTLOOK THERAPEUTICS, INC.",ONSIU,2016
"ACACIA COMMUNICATIONS, INC.",ACIA,2016
"SITEONE LANDSCAPE SUPPLY, INC.",SITE,2016
"TURNING POINT BRANDS, INC.",TPB,2016
"SPRING BANK PHARMACEUTICALS, INC.",SBPH,2016
"INTELLIA THERAPEUTICS, INC.",NTLA,2016
"SYROS PHARMACEUTICALS, INC.",SYRS,2016
GLOBAL MEDICAL REIT INC.,GMRE,2016
TWILIO INC,TWLO,2016
SELECTA BIOSCIENCES INC,SELB,2016
PARAGON COMMERCIAL CORP,PBNC,2016
"VIVEVE MEDICAL, INC.",VIVE,2016
CHINA ONLINE EDUCATION GROUP,COE,2016
ATKORE INTERNATIONAL GROUP INC.,ATKR,2016
"SENSUS HEALTHCARE, INC.",SRTSU,2016
"CLEARSIDE BIOMEDICAL, INC.",CLSD,2016
"MOLECULIN BIOTECH, INC.",MBRX,2016
"NANTHEALTH, INC.",NH,2016
CELLECT BIOTECHNOLOGY LTD.,APOP,2016
LONG BLOCKCHAIN CORP.,LTEA,2016
TALEND S.A.,TLND,2016
TACTILE SYSTEMS TECHNOLOGY INC,TCMD,2016
"KINSALE CAPITAL GROUP, INC.",KNSL,2016
"KADMON HOLDINGS, INC.",KDMN,2016
"TPI COMPOSITES, INC",TPIC,2016
IMPINJ INC,PI,2016
PATHEON N.V.,PTHN,2016
"AUDENTES THERAPEUTICS, INC.",BOLD,2016
CONYERS PARK ACQUISITION CORP.,CPAAU,2016
"ADVANCEPIERRE FOODS HOLDINGS, INC.",APFH,2016
LINE CORP,LN,2016
"INNOVATE BIOPHARMACEUTICALS, INC.",MSDI,2016
"INFRASTRUCTURE & ENERGY ALTERNATIVES, INC.",MIIIU,2016
"PHUNWARE, INC.",STLRU,2016
AIRGAIN INC,AIRG,2016
"MEDPACE HOLDINGS, INC.",MEDP,2016
"PROTAGONIST THERAPEUTICS, INC",PTGX,2016
ATOMERA INC,ATMR,2016
GEMPHIRE THERAPEUTICS INC.,GEMP,2016
AT HOME GROUP INC.,HOME,2016
"FIRST HAWAIIAN, INC.",FHB,2016
"NUTANIX, INC.",NTNX,2016
"TABULA RASA HEALTHCARE, INC.",TRHC,2016
"MEDEQUITIES REALTY TRUST, INC.",MRT,2016
"FULGENT GENETICS, INC.",FLGT,2016
"SHINECO, INC.",TYHT,2016
VALVOLINE INC,VVV,2016
GRIDSUM HOLDING INC.,GSUM,2016
AC IMMUNE SA,ACIU,2016
APPTIO INC,APTI,2016
"CAPSTAR FINANCIAL HOLDINGS, INC.",CSTR,2016
"E.L.F. BEAUTY, INC.",ELF,2016
"NOVAN, INC.",NOVN,2016
"TRADE DESK, INC.",TTD,2016
BIGFOOT PROJECT INVESTMENTS INC,BGFT,2016
"EVERBRIDGE, INC.",EVBG,2016
FB FINANCIAL CORP,FBK,2016
SABAN CAPITAL ACQUISITION CORP.,SCACU,2016
BANK OF N.T. BUTTERFIELD & SON LTD,NTB,2016
NOBLE MIDSTREAM PARTNERS LP,NBLX,2016
"PRIORITY TECHNOLOGY HOLDINGS, INC.",MACQU,2016
"BLACKLINE, INC.",BL,2016
ACUSHNET HOLDINGS CORP.,GOLF,2016
"ON SEMICONDUCTOR CONNECTIVITY SOLUTIONS, INC.",QTNA,2016
ZTO EXPRESS (CAYMAN) INC.,ZTO,2016
GTY TECHNOLOGY HOLDINGS INC.,GTYHU,2016
MYOVANT SCIENCES LTD.,MYOV,2016
"RA PHARMACEUTICALS, INC.",RARX,2016
"FORTERRA, INC.",FRTA,2016
"IRHYTHM TECHNOLOGIES, INC.",IRTC,2016
CRISPR THERAPEUTICS AG,CRSP,2016
"MAMMOTH ENERGY SERVICES, INC.",TUSK,2016
"EXTRACTION OIL & GAS, INC.",XOG,2016
AZURE POWER GLOBAL LTD,AZRE,2016
"AZURRX BIOPHARMA, INC.",AZRX,2016
ORGANOGENESIS HOLDINGS INC.,AHPAU,2016
"CAMPING WORLD HOLDINGS, INC.",CWH,2016
EVERSPIN TECHNOLOGIES INC,MRAM,2016
"ADVANCED DISPOSAL SERVICES, INC.",ADSW,2016
OBALON THERAPEUTICS INC,OBLN,2016
COUPA SOFTWARE INC,COUP,2016
SCWORX CORP.,AMMA,2016
AQUAVENTURE HOLDINGS LTD,WAAS,2016
HUNTER MARITIME ACQUISITION CORP.,HUNTU,2016
MOTIF BIO PLC,MTFB,2016
"SMART SAND, INC.",SND,2016
GDS HOLDINGS LTD,GDS,2016
"HEBRON TECHNOLOGY CO., LTD",HEBT,2016
TRIVAGO N.V.,TRVG,2016
TIGENIX NV,TIG,2016
"BRAZOS VALLEY LONGHORN, L.L.C.",WRD,2016
"ICHOR HOLDINGS, LTD.",ICHR,2016
ATHENE HOLDING LTD,ATH,2016
"SENESTECH, INC.",SNES,2016
"POLAR POWER, INC.",POLA,2016
INNOVATIVE INDUSTRIAL PROPERTIES INC,IIPR,2016
