comnam,ticker,filingYr
DUNCAN ENERGY PARTNERS L.P.,DEP,2007
"EMPLOYERS HOLDINGS, INC.",EIG,2007
"HFF, INC.",HF,2007
"ANIMAL HEALTH HOLDINGS, INC.",AHII,2007
RENAISSANCE ACQUISITION CORP.,RAK.U,2007
"SONOMA PHARMACEUTICALS, INC.",OCLS,2007
UIB GROUP LTD,CGNUF,2007
CHINA TOPREACH INC.,CGSUF,2007
"EVOQ PROPERTIES, INC.",MMPI,2007
ORITANI FINANCIAL CORP.,ORIT,2007
AEROVIRONMENT INC,AVAV,2007
MV OIL TRUST,MVO,2007
INTELGENX TECHNOLOGIES CORP.,IGXT,2007
LEGACY RESERVES LP,LGCY,2007
"AEROGROW INTERNATIONAL, INC.",AGWI,2007
FUNTALK CHINA HOLDINGS LTD,MKGDU,2007
MSB FINANCIAL CORP.,MSBF,2007
DB MULTI-SECTOR COMMODITY MASTER TRUST,DBA,2007
"NEURALSTEM, INC.",NRLS,2007
ROSETTA GENOMICS LTD.,ROSG,2007
INVESCO DB US DOLLAR INDEX TRUST,UUP,2007
"CHINA CARBON GRAPHITE GROUP, INC.",CHGI,2007
"QUADRA REALTY TRUST, INC.",QRR,2007
"SALARY. COM, INC.",SLRY,2007
OPNEXT INC,OPXT,2007
GENEVA ACQUISITION CORP,GAC.U,2007
"FINJAN HOLDINGS, INC.",COINU,2007
INVESCO CURRENCYSHARES JAPANESE YEN TRUST,FXY,2007
OPTIMER PHARMACEUTICALS INC,OPTR,2007
"U.S. AUTO PARTS NETWORK, INC.",PRTS,2007
TRANS-INDIA ACQUISITION CORP,TIL.U,2007
FORTRESS INVESTMENT GROUP LLC,FIG,2007
POSITIVEID CORP,CHIP,2007
"MODERN CINEMA GROUP, INC.",HMSO,2007
TARGA RESOURCES PARTNERS LP,NGLS,2007
"MELLANOX TECHNOLOGIES, LTD.",MLNX,2007
"NATIONAL CINEMEDIA, INC.",NCMI,2007
ACCURAY INC,ARAY,2007
"COUGAR BIOTECHNOLOGY, INC.",CGRB,2007
"SWITCH & DATA FACILITIES COMPANY, INC.",SDXC,2007
3SBIO INC.,SSRX,2007
"JA SOLAR HOLDINGS CO., LTD.",JASO,2007
DEKANIA CORP.,DEKU,2007
CELLCOM ISRAEL LTD.,CEL,2007
UNION STREET ACQUISITION CORP.,USQ-U,2007
"MADRIGAL PHARMACEUTICALS, INC.",SNTA,2007
"MOLECULAR INSIGHT PHARMACEUTICALS, INC.",MIPI,2007
INFORMATION SERVICES GROUP INC.,III.U,2007
NTR ACQUISITION CO.,NTQ.U,2007
XTENT INC,XTNT,2007
CAPITAL PRODUCT PARTNERS L.P.,CPLP,2007
"FLAGSTONE REINSURANCE HOLDINGS, S.A.",FSR,2007
GSI TECHNOLOGY INC,GSIT,2007
SENORX INC,SENO,2007
"SUPER MICRO COMPUTER, INC.",SMCI,2007
SANTA MONICA MEDIA CORP,MEJ.U,2007
"ETELECARE GLOBAL SOLUTIONS, INC.",ETEL,2007
"ARUBA NETWORKS, INC.",ARUN,2007
"CASTLEPOINT HOLDINGS, LTD.",CPHL,2007
ALPHA SECURITY GROUP CORP,HDS.U,2007
GLU MOBILE INC,GLUU,2007
TRULITE INC,TRUL,2007
"CHENIERE ENERGY PARTNERS, L.P.",CQP,2007
CHINA OPPORTUNITY ACQUISITION CORP.,CHNQU,2007
"FCSTONE GROUP, INC.",FCSX,2007
GAFISA S.A.,GFA,2007
TONGJITANG CHINESE MEDICINES CO,TCM,2007
"BIGBAND NETWORKS, INC.",BBND,2007
"MEDIA & ENTERTAINMENT HOLDINGS, INC.",TVH.U,2007
XINHUA SPORTS & ENTERTAINMENT LTD,XFML,2007
SOURCEFIRE INC,FIRE,2007
ESSEX RENTAL CORP.,HYDQU,2007
CLEARWIRE CORP,CLWR,2007
BARZEL INDUSTRIES INC.,SHJ-U,2007
"COLEMAN CABLE, INC.",CCIX,2007
CHURCHILL VENTURES LTD,CHV.U,2007
"OCEANAUT, INC.",OKN.U,2007
