comnam,ticker,filingYr
ADECOAGRO S.A.,AGRO,2011
BCD SEMICONDUCTOR MANUFACTURING LTD,BCDS,2011
"BANKUNITED, INC.",BKU,2011
INTERXION HOLDING N.V.,INXN,2011
VELTI PLC,VELT,2011
NIELSEN HOLDINGS PLC,NLSN,2011
LEAF GROUP LTD.,DMD,2011
"TIBET PHARMACEUTICALS, INC.",TBET,2011
ETFS ASIAN GOLD TRUST,AGOL,2011
"AMERICAN ASSETS TRUST, INC.",AAT,2011
FACTORSHARES 2X OIL BULL/S&P500 BEAR,FOL,2011
FACTORSHARES 2X TBOND BULL/S&P500 BEAR,FSA,2011
FACTORSHARES 2X S&P500 BULL/TBOND BEAR,FSE,2011
FACTORSHARES 2X GOLD BULL/S&P500 BEAR,FSG,2011
FACTORSHARES 2X S&P500 BULL/USD BEAR,FSU,2011
TEUCRIUM COMMODITY TRUST,NAGS,2011
"RLJ ACQUISITION, INC.",RLJAU,2011
ZUOAN FASHION LTD,ZA,2011
ACELRX PHARMACEUTICALS INC,ACRX,2011
"KIPS BAY MEDICAL, INC.",KIPS,2011
"KINDER MORGAN, INC.",KMI,2011
FLUIDIGM CORP,FLDM,2011
"SUMMIT HOTEL PROPERTIES, INC.",INN,2011
"GEVO, INC.",GEVO,2011
"EMERGENT CAPITAL, INC.",IFT,2011
"CHINA CENTURY DRAGON MEDIA, INC.",CDM,2011
MMODAL INC.,MEDH,2011
"BG MEDICINE, INC.",BGMD,2011
ENDOCYTE INC,ECYT,2011
"PACIRA BIOSCIENCES, INC.",PCRX,2011
TRUNKBOW INTERNATIONAL HOLDINGS LTD,TBOW,2011
WRIGHT MEDICAL GROUP N.V.,TRNX,2011
EPOCRATES INC,EPOC,2011
NEOPHOTONICS CORP,NPTN,2011
APOLLO GLOBAL MANAGEMENT LLC,APO,2011
QIHOO 360 TECHNOLOGY CO LTD,QIHU,2011
"SERVICESOURCE INTERNATIONAL, INC.",SREV,2011
PRIME ACQUISITION CORP,PACQU,2011
"ARABELLA EXPLORATION, INC.",LOKAF,2011
CORNERSTONE ONDEMAND INC,CSOD,2011
MAGNACHIP SEMICONDUCTOR CORP,MX,2011
"HCA HEALTHCARE, INC.",HCA,2011
FRANKLIN FINANCIAL CORP,FRNK,2011
RESPONSYS INC,MKTG,2011
"21VIANET GROUP, INC.",VNET,2011
ANDEAVOR LOGISTICS LP,TLLP,2011
MISSION NEWENERGY LTD,MNEL,2011
"SAGENT PHARMACEUTICALS, INC.",SGNT,2011
AIR LEASE CORP,AL,2011
GLOBAL CORNERSTONE HOLDINGS LTD,GCRSF,2011
ELLIE MAE INC,ELLI,2011
SEQUANS COMMUNICATIONS,SQNS,2011
"STAG INDUSTRIAL, INC.",STIR,2011
BOX SHIPS INC.,TEU,2011
ARCOS DORADOS HOLDINGS INC.,ARCO,2011
TMS INTERNATIONAL CORP.,TMS,2011
ZIPCAR INC,ZIP,2011
RMG NETWORKS HOLDING CORP,SCGQU,2011
GOLAR LNG PARTNERS LP,GMLP,2011
"AEVI GENOMIC MEDICINE, INC.",MDGN,2011
"CVR PARTNERS, LP",UAN,2011
SANDRIDGE ENERGY INC,SDT,2011
"OCERA THERAPEUTICS, INC.",TZYM,2011
"GNC HOLDINGS, INC.",GNC,2011
PREFERRED APARTMENT COMMUNITIES INC,APTS,2011
PINGTAN MARINE ENTERPRISE LTD.,CGEIU,2011
"TERRAVIA HOLDINGS, INC.",SZYM,2011
"FREESCALE SEMICONDUCTOR, LTD.",FSL,2011
