comnam,ticker,filingYr
NEW FORTRESS ENERGY LLC,NFE,2019
PIVOTAL ACQUISITION CORP,PVT'U,2019
ANDINA ACQUISITION CORP. III,ANDAU,2019
MDJM LTD,MDJH,2019
"MMTEC, INC.",MTC,2019
"CHINA SXT PHARMACEUTICALS, INC.",SXTC,2019
DIAMONDPEAK HOLDINGS CORP.,DPHCU,2019
"KALEIDO BIOSCIENCES, INC.",KLDO,2019
TORTOISE ACQUISITION CORP.,SHLLU,2019
"SUPER LEAGUE GAMING, INC.",SLGG,2019
ACAMAR PARTNERS ACQUISITION CORP.,ACAMU,2019
"SOLITON, INC.",SOLY,2019
STEALTH BIOTHERAPEUTICS CORP,MITO,2019
"HOTH THERAPEUTICS, INC.",HOTH,2019
TCR2 THERAPEUTICS INC.,TCRR,2019
AVEDRO INC,AVDR,2019
"IMAC HOLDINGS, INC.",IMAC,2019
ANCHIANO THERAPEUTICS LTD.,ANCN,2019
"GOSSAMER BIO, INC.",GOSS,2019
"HARPOON THERAPEUTICS, INC.",HARP,2019
RMG ACQUISITION CORP.,RMG'U,2019
"ALECTOR, INC.",ALEC,2019
MONOCLE ACQUISITION CORP,MNCLU,2019
WEALTHBRIDGE ACQUISITION LTD,HHHHU,2019
"INMUNE BIO, INC.",INMB,2019
"GORES METROPOULOS, INC.",GMHIU,2019
"LYFT, INC.",LYFT,2019
"PUYI, INC.",PUYI,2019
PRECISION BIOSCIENCES INC,DTIL,2019
8I ENTERPRISES ACQUISITION CORP.,JFKKU,2019
GENFIT S.A.,GNFT,2019
LEVI STRAUSS & CO,LEVI,2019
INSURANCE ACQUISITION CORP.,INSUU,2019
UP FINTECH HOLDING LTD,TIGR,2019
TRINE ACQUISITION CORP.,TRNEU,2019
CRESCENT ACQUISITION CORP,CRSAU,2019
FUTU HOLDINGS LTD,FHL,2019
"SHOCKWAVE MEDICAL, INC.",SWAV,2019
TUSCAN HOLDINGS CORP.,THCBU,2019
HENNESSY CAPITAL ACQUISITION CORP IV,HCACU,2019
WAH FU EDUCATION GROUP LTD,WAFU,2019
ACT II GLOBAL ACQUISITION CORP.,ACTTU,2019
"GREENLANE HOLDINGS, INC.",GNLN,2019
HOOKIPA PHARMA INC.,HOOK,2019
"BRIGHAM MINERALS, INC.",MNRL,2019
"PINTEREST, INC.",PINS,2019
"ZOOM VIDEO COMMUNICATIONS, INC.",ZM,2019
"PALOMAR HOLDINGS, INC.",PLMR,2019
"TURNING POINT THERAPEUTICS, INC.",TPTX,2019
BRAINSWAY LTD.,BWAY,2019
JUMIA TECHNOLOGIES AG,JMIA,2019
TUFIN SOFTWARE TECHNOLOGIES LTD.,TUFN,2019
"PAGERDUTY, INC.",PD,2019
B. RILEY PRINCIPAL MERGER CORP.,BRPMU,2019
"GUARDION HEALTH SCIENCES, INC.",GHSI,2019
NGM BIOPHARMACEUTICALS INC,NGM,2019
SILK ROAD MEDICAL INC,SILK,2019
TRADEWEB MARKETS INC.,TW,2019
REPLAY ACQUISITION CORP.,RPLAU,2019
RUHNN HOLDING LTD,RUHN,2019
"POWERBRIDGE TECHNOLOGIES CO., LTD.",PBTS,2019
PROFICIENT ALPHA ACQUISITION CORP,PAACU,2019
"IDEAYA BIOSCIENCES, INC.",IDYA,2019
RATTLER MIDSTREAM LP,RTLR,2019
BICYCLE THERAPEUTICS PLC,BCYC,2019
GX ACQUISITION CORP.,GXGXU,2019
"FASTLY, INC.",FSLY,2019
LUCKIN COFFEE INC.,LK,2019
"AVANTOR, INC.",AVTR,2019
"POSTAL REALTY TRUST, INC.",PSTL,2019
AGBA ACQUISITION LTD,AGBAU,2019
APPLIED THERAPEUTICS INC.,APLT,2019
DIAMOND EAGLE ACQUISITION CORP. \ DE,DEACU,2019
HEALTH SCIENCES ACQUISITIONS CORP,HSACU,2019
JIAYIN GROUP INC.,JFIN,2019
SONIM TECHNOLOGIES INC,SONM,2019
"UBER TECHNOLOGIES, INC",UBER,2019
"SOUTH PLAINS FINANCIAL, INC.",SPFI,2019
HEADHUNTER GROUP PLC,HHR,2019
"MAYVILLE ENGINEERING COMPANY, INC.",MEC,2019
MILESTONE PHARMACEUTICALS INC.,MIST,2019
"NEXTCURE, INC.",NXTC,2019
"CORTEXYME, INC.",CRTX,2019
AXCELLA HEALTH INC.,AXLA,2019
PARSONS CORP,PSN,2019
"LANDCADIA HOLDINGS II, INC.",LCAHU,2019
"TREVI THERAPEUTICS, INC.",TRVI,2019
YUNJI INC.,YJ,2019
RED RIVER BANCSHARES INC,RRBI,2019
SCIPLAY CORP,SCPL,2019
ATIF HOLDINGS LTD,ATIF,2019
"BEYOND MEAT, INC.",BYND,2019
SO-YOUNG INTERNATIONAL INC.,SY,2019
"TRANSMEDICS GROUP, INC.",TMDX,2019
"KARUNA THERAPEUTICS, INC.",KRTX,2019
"THEREALREAL, INC.",REAL,2019
"MORPHIC HOLDING, INC.",MORF,2019
ADAPTIVE BIOTECHNOLOGIES CORP,ADPT,2019
"BRIDGEBIO PHARMA, INC.",BBIO,2019
CHURCHILL CAPITAL CORP II,CCX'U,2019
CHANGE HEALTHCARE INC.,CHNG,2019
CAMBIUM NETWORKS CORP,CMBM,2019
LINX S.A.,LINX,2019
GROCERY OUTLET HOLDING CORP.,GO,2019
"ATRECA, INC.",BCEL,2019
"AKERO THERAPEUTICS, INC.",AKRO,2019
PREVAIL THERAPEUTICS INC.,PRVL,2019
"PERSONALIS, INC.",PSNL,2019
SOUTH MOUNTAIN MERGER CORP.,SMMCU,2019
"SLACK TECHNOLOGIES, INC.",WORK,2019
"STOKE THERAPEUTICS, INC.",STOK,2019
"CHEWY, INC.",CHWY,2019
FIVERR INTERNATIONAL LTD.,FVRR,2019
