comnam,ticker,filingYr
SYNAPTICS INC,SYNA,2002
FORD MOTOR CO CAPITAL TRUST II,F.S,2002
FORD MOTOR CO CAPITAL TRUST III,F.S,2002
DTE ENERGY TRUST II,DTE.A,2002
SAXON CAPITAL INC,SAXN,2002
INTEGRATED DEFENSE TECHNOLOGIES INC,IDE,2002
HIENERGY TECHNOLOGIES INC,SLWE,2002
PETCO ANIMAL SUPPLIES INC,PETC,2002
PAYPAL INC,PYPL,2002
GAMESTOP HOLDINGS CORP,GME,2002
VISCOUNT SYSTEMS INC,VSYS,2002
SOUTHERN COMMUNITY FINANCIAL CORP,SCMFP,2002
MANTECH INTERNATIONAL CORP,MANT,2002
MILLENNIUM BANKSHARES CORP,MBVA,2002
LOEWS CORP,CG,2002
ZYMOGENETICS INC,ZGEN,2002
"MEDSOURCE TECHNOLOGIES HOLDINGS, LLC",MEDT,2002
MISSISSIPPI POWER CO,MP.E,2002
TRAVELERS PROPERTY CASUALTY CORP,TAP'A,2002
ALCON INC,ACL,2002
CAP ROCK ENERGY CORP,RKE,2002
ASBURY AUTOMOTIVE GROUP INC,ABG,2002
WCI COMMUNITIES INC,WCI,2002
ANTEON INTERNATIONAL CORP,ANT,2002
BBC CAPITAL TRUST II,BBXT,2002
PREMCOR INC,PCO,2002
"EUTHYMICS BIOSCIENCE, INC.",DOVP,2002
CENTRO SATURN MERGERSUB LLC.,HTG,2002
MEDICAL STAFFING NETWORK HOLDINGS INC,MRN,2002
EXPRESSJET HOLDINGS INC,XJT,2002
FIRST MERCHANTS CORP,FRMEP,2002
INDEPENDENT CAPITAL TRUST IV,INDBM,2002
JETBLUE AIRWAYS CORP,JBLU,2002
RIBAPHARM INC,RNA,2002
"JESUP & LAMONT, INC.",EFH,2002
PARTNERS TRUST FINANCIAL GROUP INC,PRTR,2002
"OVERSTOCK.COM, INC",OSTK,2002
SEACOAST CAPITAL TRUST I,SCFSP,2002
SEACOAST FINANCIAL SERVICES CORP,SCFSP,2002
"SRA INTERNATIONAL, INC.",SRX,2002
NETFLIX INC,NFLX,2002
ALTIRIS INC,ATRS,2002
EON LABS INC,ELAB,2002
LIQUIDMETAL TECHNOLOGIES INC,LQMT,2002
COMPUTER PROGRAMS & SYSTEMS INC,CPSI,2002
KYPHON INC,KYPH,2002
"GLOBAL ARENA HOLDING, INC.",DWMA,2002
"ARO LIQUIDATION, INC.",ARO,2002
VERINT SYSTEMS INC,VRNT,2002
REGAL ENTERTAINMENT GROUP,RGC,2002
STIFEL FINANCIAL CAPITAL TRUST I,SF.A,2002
QUINTON CARDIOLOGY SYSTEMS INC,QUIN,2002
UNITED FIRE GROUP INC,UFCSP,2002
LIN TV CORP.,TVL,2002
INVERESK RESEARCH GROUP INC,IRGI,2002
MONTANA MILLS BREAD CO INC,MMX,2002
MTC TECHNOLOGIES INC,MTCT,2002
GCB CAPITAL TRUST II,GFLSO,2002
HEWITT ASSOCIATES INC,HEW,2002
BIODELIVERY SCIENCES INTERNATIONAL INC,BDSIU,2002
BIG 5 SPORTING GOODS CORP,BGFV,2002
CTI MOLECULAR IMAGING INC,CTMI,2002
BRE PROPERTIES INC /MD/,BRE.B,2002
HUB INTERNATIONAL LTD,HBG,2002
COASTAL BANCORP INC,CBSAN,2002
PRINTCAFE SOFTWARE INC,PCAF,2002
PREMIER BANCORP INC /PA/,PPA.A,2002
PACER INTERNATIONAL INC,PACR,2002
VERIDIAN CORP,VNX,2002
PLUMTREE SOFTWARE INC,PLUM,2002
NEW ENGLAND BANCSHARES INC,NEBS,2002
LEAPFROG ENTERPRISES INC,LF,2002
RED ROBIN GOURMET BURGERS INC,RRGB,2002
DORAL FINANCIAL CORP,DORLN,2002
HEALTHETECH INC,HETC,2002
"KIRKLAND'S, INC",KIRK,2002
RANDGOLD RESOURCES LTD,RRUS,2002
CIT GROUP INC,CIT,2002
MBNA CORP,KRB.D,2002
MONARCH COMMUNITY BANCORP INC,MCBF,2002
"BANC OF CALIFORNIA, INC.",FPTB,2002
NPB CAPITAL TRUST II,NPBCO,2002
WINDROSE MEDICAL PROPERTIES TRUST,WRS,2002
MB FINANCIAL CAPITAL TRUST I,MBFIP,2002
STERLING BANCSHARES INC,SBIBN,2002
BUCK A DAY CO INC,BKDYF,2002
PLATINUM UNDERWRITERS HOLDINGS LTD,PTP,2002
WYNN RESORTS LTD,WYNN,2002
ATLANTIC LIBERTY FINANCIAL CORP,ALFC,2002
NATURAL GAS SERVICES GROUP INC,NGS,2002
USI HOLDINGS CORP,USIH,2002
TAYC CAPITAL TRUST I,TAYC,2002
DICKS SPORTING GOODS INC,DKS,2002
MONTPELIER RE HOLDINGS LTD,MRH,2002
DRIVE SHACK INC.,NCT,2002
PROTECTIVE LIFE CORP,PL.A,2002
TIERONE CORP,TONE,2002
SAFETY INSURANCE GROUP INC,SAFT,2002
COSI INC,COSI,2002
IMPAC MEDICAL SYSTEMS INC,IMPC,2002
CONSTAR INTERNATIONAL INC,CNST,2002
SERCO SERVICES INC.,SINT,2002
ON TRACK INNOVATIONS LTD,OTIV,2002
WELLCHOICE INC,WC,2002
PRA GROUP INC,PRAA,2002
HARRINGTON WEST FINANCIAL GROUP INC/CA,HWFG,2002
CEVA INC,PCVA,2002
RXBAZAAR INC,RXBZ,2002
OHIO LEGACY CORP,OLCB,2002
"VISTACARE, LLC",VSTA,2002
WACHOVIA PREFERRED FUNDING CORP,WNA.,2002
COMMERCIAL CAPITAL BANCORP INC,CCBI,2002
SEAGATE TECHNOLOGY PLC,STX,2002
CME GROUP INC.,CME,2002
