comnam,ticker,filingYr
"FORTUNET, INC.",FNET,2006
"H&E EQUIPMENT SERVICES, INC.",HEES,2006
REGENCY ENERGY PARTNERS LP,RGNC,2006
PERION NETWORK LTD.,MAIL,2006
"BOULDER BRANDS, INC.",BDSB,2006
BIGSTRING CORP,BSGC,2006
"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CLMT,2006
CHIPOTLE MEXICAN GRILL INC,CMG,2006
ALTUS PHARMACEUTICALS INC.,ALTU,2006
"ARGYLE SECURITY, INC.",ARGLU,2006
"TRAFFIC.COM, INC.",TRFC,2006
"MAGYAR BANCORP, INC.",MGYR,2006
"AMERICAN RAILCAR INDUSTRIES, INC.",ARII,2006
CNX GAS CORP,CXG,2006
"WESTERN REFINING, INC.",WNR,2006
"ROAN RESOURCES, INC.",LINE,2006
"GRUBB & ELLIS REALTY ADVISORS, INC.",GAV'U,2006
PACIFIC AIRPORT GROUP,PAC,2006
KYN CAPITAL GROUP INC,NTYN,2006
LIQUIDITY SERVICES INC,LQDT,2006
MARINER ENERGY INC,ME,2006
CLARK HOLDINGS INC.,GLA-U,2006
"GOLD HORSE INTERNATIONAL, INC.",SPHH,2006
SPARK NETWORKS INC,LOV,2006
MORGANS HOTEL GROUP CO.,MHGC,2006
"NBL TEXAS, LLC",ROSE,2006
OPTIONABLE INC,OPBL,2006
MAGELLAN MIDSTREAM HOLDINGS LP,MGG,2006
ACORDA THERAPEUTICS INC,ACOR,2006
AMCOMP INC /FL,AMCP,2006
MORTONS RESTAURANT GROUP INC,MRT,2006
NIGHTHAWK RADIOLOGY HOLDINGS INC,NHWK,2006
NTELOS HOLDINGS CORP.,NTLS,2006
EXCO RESOURCES INC,XCO,2006
"CROCS, INC.",CROX,2006
EXANTAS CAPITAL CORP.,RSO,2006
DEX LIQUIDATING CO.,CRDC,2006
"HEALTHSPRING, INC.",HS,2006
COINMACH SERVICE CORP,DRA,2006
ENERGY TRANSFER LP,ETE,2006
"ORCHARD ENTERPRISES, INC.",DMGI,2006
"SMART MODULAR TECHNOLOGIES (WWH), INC.",SMOD,2006
VALERA PHARMACEUTICALS INC,VLRX,2006
"THOMAS WEISEL PARTNERS GROUP, INC.",TWPG,2006
TERNIUM S.A.,TX,2006
AMERICAN TELECOM SERVICES INC,TES,2006
"SGX PHARMACEUTICALS, INC.",SGXP,2006
"INTERCELL USA, INC.",IOMI,2006
KOPPERS HOLDINGS INC.,KOP,2006
"HIMAX TECHNOLOGIES, INC.",HIMX,2006
PHOENIX INDIA ACQUISITION CORP.,PXIAU,2006
CHINA GRENTECH CORP LTD,GRRF,2006
"GLOBAL TRAFFIC NETWORK, INC.",GNET,2006
MACRO BANK INC.,BMA,2006
CLAYTON HOLDINGS INC,CLAY,2006
TIM HORTONS INC.,THI,2006
EFUTURE HOLDING INC.,EFUT,2006
"NORTH AMERICAN INSURANCE LEADERS, INC.",NAO,2006
NEXTEST SYSTEMS CORP,NEXT,2006
PET DRX CORP,EHHAU,2006
TRANSDIGM GROUP INC,TDG,2006
TOWER US HOLDINGS INC.,AQR-U,2006
"UAN CULTURAL & CREATIVE CO., LTD.",GHBAU,2006
TAM S.A.,TAM,2006
"EAGLE TEST SYSTEMS, INC.",EGLT,2006
ALEXZA PHARMACEUTICALS INC.,ALXA,2006
ORACLE HEALTHCARE ACQUISITION CORP.,OHAQU,2006
"INDIA GLOBALIZATION CAPITAL, INC.",IGC-U,2006
"CPI INTERNATIONAL, INC.",CPII,2006
AMERICAN MOLD GUARD INC,AMGIU,2006
AMERICAN OVERSEAS GROUP LIMITED,RAMR,2006
COREL CORP,CREL,2006
HARBOR ACQUISITION CORP.,HAC-U,2006
SHANGHAI CENTURY ACQUISITION CORP,SHA-U,2006
"OMRIX BIOPHARMACEUTICALS, INC.",OMRI,2006
"SUPERIOR ENERGY SERVICES-NORTH AMERICA SERVICES, INC",CPX,2006
SOUTHPEAK INTERACTIVE CORP,GSPAU,2006
ASIA AUTOMOTIVE ACQUISITION CORP.,AAACU,2006
"CATALYST BIOSCIENCES, INC.",TRGT,2006
VANDA PHARMACEUTICALS INC.,VNDA,2006
"GOLDEN GATE HOMES, INC.",JKA-U,2006
"OMEGA NAVIGATION ENTERPRISES, INC.",ONAV,2006
SEALY CORP,ZZ,2006
GOODMAN GLOBAL INC,GGL,2006
CASTLE BRANDS INC,ROX,2006
VISICU INC,EICU,2006
GENERAL FINANCE CORP,GFN-U,2006
"LAKE SHORE BANCORP, INC.",LSBK,2006
"MUELLER WATER PRODUCTS, INC.",MWA,2006
MASTERCARD INC,MA,2006
VONAGE HOLDINGS CORP,VG,2006
DARWIN PROFESSIONAL UNDERWRITERS INC,DR,2006
EMBARQ CORP,EQ,2006
BURGER KING HOLDINGS INC,BKC,2006
PENSON WORLDWIDE INC,PNSN,2006
"RESTORE MEDICAL, INC.",REST,2006
"BIOMIMETIC THERAPEUTICS, INC.",BMTI,2006
"BASIN WATER, INC.",BWTR,2006
KITARA MEDIA CORP.,ASAQU,2006
COMPASS GROUP DIVERSIFIED HOLDINGS LLC,CODI,2006
"ALLIANCE HOLDINGS GP, L.P.",AHGP,2006
"PARATEK PHARMACEUTICALS, INC.",NOVC,2006
"NORTHSTAR NEUROSCIENCE, INC.",NSTR,2006
EUROSEAS LTD.,ESEAF,2006
DYNCORP INTERNATIONAL INC.,DCP,2006
"DELEK US ENERGY, INC.",DK,2006
AVENTINE RENEWABLE ENERGY HOLDINGS INC,AVR,2006
GMARKET INC.,GMKT,2006
J CREW GROUP INC,JCG,2006
"OMNITURE, INC.",OMTR,2006
"PGT INNOVATIONS, INC.",PGTI,2006
CARDIOVASCULAR SYSTEMS INC,RDYN,2006
INVESCO CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,FXA,2006
INVESCO CURRENCYSHARES BRITISH POUND STERLING TRUST,FXB,2006
INVESCO CURRENCYSHARES CANADIAN DOLLAR TRUST,FXC,2006
INVESCO CURRENCYSHARES SWISS FRANC TRUST,FXF,2006
CURRENCYSHARES MEXICAN PESO TRUST,FXM,2006
INVESCO CURRENCYSHARES SWEDISH KRONA TRUST,FXS,2006
HOME BANCSHARES INC,HOMB,2006
TECHWELL INC,TWLL,2006
"EASTERN INSURANCE HOLDINGS, INC.",EIHI,2006
BEVERLY NATIONAL CORP,BNV,2006
GOLFSMITH INTERNATIONAL HOLDINGS INC,GOLF,2006
HOUSTON WIRE & CABLE CO,HWCC,2006
VOLCANO CORP,VOLC,2006
SYNCHRONOSS TECHNOLOGIES INC,SNCR,2006
VERASUN ENERGY CORP,VSE,2006
VERIGY LTD.,VRGY,2006
"LOOPNET, INC.",LOOP,2006
COMMUNITY BANKERS TRUST CORP,BTC.U,2006
TOWN SPORTS INTERNATIONAL HOLDINGS INC,CLUB,2006
LUNA INNOVATIONS INC,LUNA,2006
HD PARTNERS ACQUISITION CORP,HDP.U,2006
"ALPHATEC HOLDINGS, INC.",ATEC,2006
"CTC MEDIA, INC.",CTCM,2006
"CRYSTAL RIVER CAPITAL, INC.",CRZ,2006
"GEOMET, INC.",GMET,2006
"O2 SECURE WIRELESS, INC.",OTOW,2006
CHART INDUSTRIES INC,GTLS,2006
"AFFINITY MEDIA INTERNATIONAL CORP.,",AFMI,2006
WNS (HOLDINGS) LTD,WNS,2006
LIBERTY BANCORP INC,LBCP,2006
TARGA ENERGY LP,AHD,2006
CLEVELAND BIOLABS INC,CBLI,2006
ISHARES S&P GSCI COMMODITY-INDEXED TRUST,GSG,2006
MILLENNIUM INVESTMENT & ACQUISITION CO INC.,MQC.U,2006
ENERGY INFRASTRUCTURE ACQUISITION CORP.,EIIU,2006
"COWEN HOLDINGS, INC.",COWN,2006
"NUSTAR GP HOLDINGS, LLC",VEH,2006
ISRAEL GROWTH PARTNERS ACQUISITION CORP.,IGPAU,2006
"ALLIED WORLD ASSURANCE CO HOLDINGS, GMBH",AWH,2006
ROMA FINANCIAL CORP,ROMA,2006
"ASCENT SOLAR TECHNOLOGIES, INC.",ASTIU,2006
ENERGY SERVICES OF AMERICA CORP,ESA.U,2006
MARATHON ACQUISITION CORP.,MAQ.U,2006
INNERWORKINGS INC,INWK,2006
EVERCORE INC.,EVR,2006
"GLOBAL EMPLOYMENT HOLDINGS, INC.",GEYH,2006
QIMONDA AG,QI,2006
AIRCASTLE LTD,AYR,2006
BUCKEYE GP HOLDINGS L.P.,BGH,2006
"OSIRIS THERAPEUTICS, INC.",OSIR,2006
SYNCORA HOLDINGS LTD,SCA,2006
BARE ESCENTUALS INC,BARE,2006
"OMNI FINANCIAL SERVICES, INC.",OFSI,2006
SHUTTERFLY INC,SFLY,2006
"ICF INTERNATIONAL, INC.",ICFI,2006
"CV HOLDINGS, INC.",CBF,2006
HARVEST OIL & GAS CORP.,EVEP,2006
MINDRAY MEDICAL INTERNATIONAL LTD,MR,2006
ZION OIL & GAS INC,ZN,2006
"LIMESTONE BANCORP, INC.",PBIB,2006
DIVX INC,DIVX,2006
COMMVAULT SYSTEMS INC,CVLT,2006
"RIVERBED TECHNOLOGY, INC.",RVBD,2006
HOME DIAGNOSTICS INC,HDIX,2006
WARNER CHILCOTT PLC,WCRX,2006
"HILAND HOLDINGS GP, LP",HPGP,2006
INVESCO DB G10 CURRENCY HARVEST FUND,DBV,2006
GOLD RESOURCE CORP,GORO,2006
SECURITY DEVICES INTERNATIONAL INC.,SDEV,2006
NEW ORIENTAL EDUCATION & TECHNOLOGY GROUP INC.,EDU,2006
OPTIUM CORP,OPTM,2006
HOMEINNS HOTEL GROUP,HMIN,2006
ACHILLION PHARMACEUTICALS INC,ACHN,2006
CADENCE PHARMACEUTICALS INC,CADX,2006
EAGLE ROCK ENERGY PARTNERS L P,EROC,2006
"GATEHOUSE MEDIA, INC.",GHS,2006
DOUGLAS EMMETT INC,DEI,2006
GRANAHAN MCCOURT ACQUISITION CORP,GHN.U,2006
"EXLSERVICE HOLDINGS, INC.",EXLS,2006
"MONTVALE TECHNOLOGIES, INC.",II,2006
SUSSER HOLDINGS CORP,SUSS,2006
LEMAITRE VASCULAR INC,LMAT,2006
"STANLEY, INC.",SXE,2006
"TRUBION PHARMACEUTICALS, INC",TRBN,2006
FIRST MERCURY FINANCIAL CORP,FMR,2006
"ARCHROCK PARTNERS, L.P.",UCLP,2006
ULTRAPETROL BAHAMAS LTD,ULTR,2006
"LEIDOS HOLDINGS, INC.",SAI,2006
FORTISSIMO ACQUISITION CORP.,FSMOU,2006
ACME PACKET INC,APKT,2006
CYTRX ONCOLOGY CORP,IVPH,2006
"EHEALTH, INC.",EHTH,2006
DANAOS CORP,DAC,2006
BREITBURN ENERGY PARTNERS LP,BBEP,2006
PRIMORIS SERVICES CORP,RPSDU,2006
VIEWPOINT FINANCIAL GROUP,VPFG,2006
WESTERN UNION CO,WU,2006
"MACRO SECURITIES DEPOSITOR, LLC",UCR,2006
NETLIST INC,NLST,2006
CENTRAL NORTH AIRPORT GROUP,OMAB,2006
"CREATIVE REALITIES, INC.",RNIN,2006
NORTH AMERICAN CONSTRUCTION GROUP LTD.,NOA,2006
"SPIRIT AEROSYSTEMS HOLDINGS, INC.",SPR,2006
AERCAP HOLDINGS N.V.,AER,2006
"WILLDAN GROUP, INC.",WLDN,2006
"FIRST SOLAR, INC.",FSLR,2006
"VENOCO, INC.",VQ,2006
NYMEX HOLDINGS INC,NMX,2006
"KBR, INC.",KBR,2006
HANSEN MEDICAL INC,HNSN,2006
HERC HOLDINGS INC,HTZ,2006
ALLOT LTD.,ALLT,2006
SANCHEZ MIDSTREAM PARTNERS LP,CEP,2006
EMERGENT BIOSOLUTIONS INC.,EBS,2006
"AMTRUST FINANCIAL SERVICES, INC.",AFSI,2006
MANIFOLD CAPITAL CORP.,ACA,2006
CAPELLA EDUCATION CO,CPLA,2006
"YIELD10 BIOSCIENCE, INC.",MBLX,2006
SOLTA MEDICAL INC,THRM,2006
CANADIAN SOLAR INC.,CSIQ,2006
"KBW, INC.",KBW,2006
"ONEBEACON INSURANCE GROUP, LTD.",OB,2006
"REGIONAL HEALTH PROPERTIES, INC",ADK.U,2006
"PHYSICIANS FORMULA HOLDINGS, INC.",FACE,2006
"CATALYST PHARMACEUTICALS, INC.",CPRX,2006
ORBCOMM INC.,ORBC,2006
"INNOPHOS HOLDINGS, INC.",IPHS,2006
"GLOBALSTAR, INC.",GSAT,2006
DEBT RESOLVE INC,DRV,2006
RR MEDIA LTD.,RRST,2006
SOUTHERN NATIONAL BANCORP OF VIRGINIA INC,SONA,2006
OWENS CORNING,OC,2006
"GLG PARTNERS, INC.",FRH.U,2006
SHINE MEDIA ACQUISITION CORP.,SHNDU,2006
UNIVERSAL POWER GROUP INC.,UPG,2006
"HANWHA Q CELLS CO., LTD.",SOLF,2006
TRANSFORMA ACQUISITION GROUP INC.,TAQ-U,2006
DAYTON SUPERIOR CORP,DSUP,2006
ARTES MEDICAL INC,ARTE,2006
"FUWEI FILMS (HOLDINGS), CO. LTD.",FFHL,2006
MELCO RESORTS & ENTERTAINMENT LTD,MPEL,2006
"CLAYMONT STEEL HOLDINGS, INC.",PLTE,2006
TRINA SOLAR LTD,TSL,2006
"FIRST EAGLE PRIVATE CREDIT, LLC",NEWS,2006
"ISILON SYSTEMS, INC.",ISLN,2006
"CARROLS RESTAURANT GROUP, INC.",TAST,2006
US BIOENERGY CORP,USBE,2006
PANTHEON CHINA ACQUISITION CORP.,PCQCU,2006
"RESTAURANT ACQUISITION PARTNERS, INC.",RAPIU,2006
"CAL DIVE INTERNATIONAL, INC.",DVR,2006
"DOUBLE-TAKE SOFTWARE, INC.",DBTK,2006
AFFYMAX INC,AFFY,2006
ALTRA INDUSTRIAL MOTION CORP.,AIMC,2006
DCT INDUSTRIAL TRUST INC.,DCT,2006
GENESIS LEASE LTD,GLS,2006
"WSB FINANCIAL GROUP, INC.",WSFG,2006
TEEKAY OFFSHORE PARTNERS L.P.,TOO,2006
"OBAGI MEDICAL PRODUCTS, INC.",OMPI,2006
"MEDECISION, INC.",MEDE,2006
"GUIDANCE SOFTWARE, INC.",GUID,2006
IPG PHOTONICS CORP,IPGP,2006
"ATLAS ENERGY RESOURCES, LLC",ATN,2006
ALLEGIANT TRAVEL CO,ALGT,2006
AEGEAN MARINE PETROLEUM NETWORK INC.,ANW,2006
"HEELYS, INC.",HLYS,2006
"SMART MOVE, INC.",MVE.U,2006
"PENN VIRGINIA GP HOLDINGS, L.P.",PVG,2006
