comnam,ticker,filingYr
MEAD JOHNSON NUTRITION CO,MJN,2009
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",NIV,2009
ROSETTA STONE INC,RST,2009
ZOVIO INC,ZVO,2009
CHANGYOU.COM LTD,CYOU,2009
OPENTABLE INC,OPEN,2009
"SOLARWINDS, INC.",SWI,2009
"DIGITALGLOBE, INC.",DGI,2009
"MACROSHARES HOUSING DEPOSITOR, LLC",UMM,2009
INVESCO MORTGAGE CAPITAL INC.,IVR,2009
"MEDIDATA SOLUTIONS, INC.",MDSO,2009
DUOYUAN GLOBAL WATER INC.,DGW,2009
CHEMSPEC INTERNATIONAL LTD,CPC,2009
"CYS INVESTMENTS, INC.",CYS,2009
OFFICE PROPERTIES INCOME TRUST,GOV,2009
GLOBE SPECIALTY METALS INC,GSM,2009
PENNYMAC MORTGAGE INVESTMENT TRUST,PMT,2009
"RECON TECHNOLOGY, LTD",RCON,2009
TERRITORIAL BANCORP INC.,TBNK,2009
"LOGMEIN, INC.",LOGM,2009
"CHANGE HEALTHCARE HOLDINGS, INC.",EM,2009
"STARWOOD PROPERTY TRUST, INC.",STWD,2009
CUMBERLAND PHARMACEUTICALS INC,CPIX,2009
AVAGO TECHNOLOGIES LTD,AVGO,2009
CDC SOFTWARE CORP,CDCS,2009
SHANDA GAMES LTD,GAME,2009
SELECT MEDICAL HOLDINGS CORP,SEM,2009
"B456 SYSTEMS, INC.",AONE,2009
"APOLLO COMMERCIAL REAL ESTATE FINANCE, INC.",ARI,2009
ARTIO GLOBAL INVESTORS INC.,ART,2009
"COLONY CAPITAL, INC.",CLNY,2009
"UNITED STATES SHORT OIL FUND, LP",DNO,2009
"VITACOST.COM, INC.",VITC,2009
CREXUS INVESTMENT CORP.,CXS,2009
"TRI-TECH HOLDING, INC.",TRIT,2009
ABERDEEN STANDARD GOLD ETF TRUST,SGOL,2009
LIHUA INTERNATIONAL INC.,LIWA,2009
"VIVAKOR, INC.",VIVK,2009
ADDUS HOMECARE CORP,ADUS,2009
"VITAMIN SHOPPE, INC.",VSI,2009
DOLE FOOD CO INC,DOLE,2009
"AGA MEDICAL HOLDINGS, INC.",AGAM,2009
"ZST DIGITAL NETWORKS, INC.",ZSTN,2009
PENN MILLERS HOLDING CORP,PMIC,2009
CHINA REAL ESTATE INFORMATION CORP,CRIC,2009
RAILAMERICA INC /DE,RA,2009
"MISTRAS GROUP, INC.",MG,2009
OMEROS CORP,OMER,2009
BANCO SANTANDER (BRASIL) S.A.,BSBR,2009
"VERISK ANALYTICS, INC.",VRSK,2009
"ECHO GLOBAL LOGISTICS, INC.",ECHO,2009
EDUCATION MANAGEMENT CORP,EDMC,2009
TALECRIS BIOTHERAPEUTICS HOLDINGS CORP.,TLCR,2009
WORRY FREE TEA HOUSE HOLDINGS COMPANY,DRSX,2009
REVOLUTIONARY CONCEPTS INC,REVO,2009
"PLASTEC TECHNOLOGIES, LTD.",GSMEF,2009
"SOTERA DEFENSE SOLUTIONS, INC.",GTEC,2009
7 DAYS GROUP HOLDINGS LTD,SVN,2009
"ARCHIPELAGO LEARNING, INC.",ARCL,2009
CLOUD PEAK ENERGY INC.,CLD,2009
"FORTINET, INC.",FTNT,2009
"UNITED STATES 12 MONTH NATURAL GAS FUND, LP",UNL,2009
"ARISTA POWER, INC.",WNDT,2009
ISHARES DIVERSIFIED ALTERNATIVES TRUST,ALT,2009
DOLLAR GENERAL CORP,DG,2009
"RUE21, INC.",RUE,2009
"WEED, INC.",UNMN,2009
"STR HOLDINGS, INC.",STRI,2009
"DUOYUAN PRINTING, INC.",DYP,2009
ANCESTRY.COM INC.,ACOM,2009
HYATT HOTELS CORP,H,2009
"INSPYR THERAPEUTICS, INC.",GNSZ,2009
KRATON CORP,KRA,2009
"COBALT INTERNATIONAL ENERGY, INC.",CIE,2009
TEAM HEALTH HOLDINGS INC.,TMH,2009
VYSTAR CORP,VYST,2009
"OXFORD CITY FOOTBALL CLUB, INC.",OXFC,2009
"KAR AUCTION SERVICES, INC.",KAR,2009
CONCORD MEDICAL SERVICES HOLDINGS LTD,CCM,2009
CHINA NUOKANG BIO-PHARMACEUTICAL INC.,NKBP,2009
PEBBLEBROOK HOTEL TRUST,PEB,2009
