comnam,ticker,filingYr
AMERICAN AXLE & MANUFACTURING HOLDINGS INC,AXL,1999
ENTERCOM COMMUNICATIONS CORP,ETM,1999
REDDY ICE GROUP INC,ICED,1999
ECOMETRY CORP,SGAI,1999
TUT SYSTEMS INC,TUTS,1999
TOWER FINANCIAL CORP,TOFC,1999
NVIDIA CORP,NVDA,1999
ALLAIRE CORP,ALLR,1999
COVAD COMMUNICATIONS GROUP INC,COVD,1999
MARKETWATCH MEDIA INC,MKTW,1999
FIRST CAPITAL INC,FCAP,1999
STERLING BANCORP,PBCP,1999
RIDGEWOOD FINANCIAL INC,RSBI,1999
FIRST PLACE FINANCIAL CORP /DE/,FPFC,1999
COHOES BANCORP INC,COHB,1999
INTRAWARE INC,ITRA,1999
LIFE TECHNOLOGIES CORP,IVGN,1999
PCORDER COM INC,PCOR,1999
U S LABORATORIES INC,USLB,1999
EVCI CAREER COLLEGES HOLDING CORP,EVCI,1999
CEB INC.,EXBD,1999
VIGNETTE CORP,VIGN,1999
WEBTRENDS CORP,WEBT,1999
CITIZENS FIRST CORP,CZFC,1999
DGLV INC,DGV,1999
MANNATECH INC,MTEX,1999
ONYX SOFTWARE CORP/WA,ONXS,1999
SOUTH JERSEY FINANCIAL CORP INC,SJFC,1999
SERENA SOFTWARE INC,SRNA,1999
UGC EUROPE INC,UPCOY,1999
ANFI INC,ANFI,1999
BOTTOMLINE TECHNOLOGIES INC /DE/,EPAY,1999
CATAPULT COMMUNICATIONS CORP,CATT,1999
"GAMCO INVESTORS, INC. ET AL",GBL,1999
HLTH CORP,HLTH,1999
INSURANCE MANAGEMENT SOLUTIONS GROUP INC,INMG,1999
KORN FERRY,KFY,1999
PRODIGY COMMUNICATIONS CORP,PRGY,1999
VERTICALNET INC,VERT,1999
MARINE BANCSHARES INC,MBSK,1999
VIALOG CORP,VLOG,1999
MICROFINANCIAL INC,MFI,1999
MODEM MEDIA INC,MMPT,1999
CORINTHIAN COLLEGES INC,COCO,1999
DEL MONTE FOODS CO,DLM,1999
DELPHI CORP,DPH,1999
ALBANY MOLECULAR RESEARCH INC,AMRI,1999
ELDORADO BANCSHARES INC,ELBI,1999
NORTHERN STAR FINANCIAL INC,NSBK,1999
PEROT SYSTEMS CORP,PER,1999
PEPSI BOTTLING GROUP INC,PBG,1999
TROY FINANCIAL CORP,TRYF,1999
ZIFF DAVIS INC,ZDZ,1999
MKS INSTRUMENTS INC,MKSI,1999
GLOBAL LEADERSHIP INSTITUTE INC.,PTNM,1999
CRITICAL PATH INC,CPTH,1999
"AUTOWEB, INC.",ABTL,1999
TUMBLEWEED INC,TWED,1999
VALLEY MEDIA INC,VMIX,1999
ONEMAIN COM INC,ONEM,1999
