comnam,ticker,filingYr
ATA INC.,ATAI,2008
CASCAL N.V.,HOO,2008
RENESOLA LTD,SOL,2008
TRIAN ACQUISITION I CORP.,TUX.U,2008
ATLAS ACQUISITION HOLDINGS CORP.,AXG.U,2008
"IPC HEALTHCARE, INC.",IPCM,2008
RISKMETRICS GROUP INC,RMG,2008
WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,GCC,2008
MERIDIAN INTERSTATE BANCORP INC,EBSB,2008
SAPPHIRE INDUSTRIALS CORP.,FYR.U,2008
SPORTS PROPERTIES ACQUISITION CORP.,HMR.U,2008
WILLIAMS PIPELINE PARTNERS L.P.,WMZ,2008
GEROVA FINANCIAL GROUP LTD,CIO.U,2008
"HUGHES TELEMATICS, INC.",TKP.U,2008
"DANVERS BANCORP, INC.",DNBK,2008
ACCELERIZE INC.,ACLZ,2008
"CIRCLE ENTERTAINMENT, INC.",FXRE,2008
FINCERA INC.,SCRUF,2008
BPW ACQUISITION CORP.,BPW.U,2008
"UNITED STATES GASOLINE FUND, LP",UGA,2008
"U.S. STEM CELL, INC.",BHRT,2008
IRIDIUM COMMUNICATIONS INC.,GHQ.U,2008
MAKO SURGICAL CORP.,MAKO,2008
ARCSIGHT INC,ARST,2008
ASIA TIME CORP,TYM,2008
BBV VIETNAM S.E.A. ACQUISITION CORP.,BBVUF,2008
"CAPE BANCORP, INC.",CBNJ,2008
"CHINA DISPLAY TECHNOLOGIES, INC.",CDYT,2008
OVERTURE ACQUISITION CORP.,NLX.U,2008
"CARDIONET, INC.",BEAT,2008
"U-SWIRL, INC.",HFFIU,2008
VISA INC.,V,2008
"HERITAGE-CRYSTAL CLEAN, INC.",HCCI,2008
"SGOCO GROUP, LTD.",HMAUF,2008
HATTERAS FINANCIAL CORP,HTS,2008
"AMERICAN WATER WORKS COMPANY, INC.",AWK,2008
"INTREPID POTASH, INC.",IPI,2008
"UNITED STATES DIESEL-HEATING OIL FUND, LP",UHN,2008
"SAFE BULKERS, INC.",SB,2008
"THC THERAPEUTICS, INC.",ASUV,2008
"SINO-GLOBAL SHIPPING AMERICA, LTD.",SINO,2008
MALVERN FEDERAL BANCORP INC,MLVF,2008
WOWJOINT HOLDINGS LTD,CFQUF,2008
AGNC INVESTMENT CORP.,AGNC,2008
VERSO CORP,VRS,2008
ZION OIL & GAS INC,ZN.U,2008
"WESTERN MIDSTREAM OPERATING, LP",WES,2008
"REAL GOODS SOLAR, INC.",RSOL,2008
COLFAX CORP,CFX,2008
CAPITOL CITY BANCSHARES INC,CPTY,2008
"MAIDEN HOLDINGS, LTD.",MHLD,2008
PIONEER SOUTHWEST ENERGY PARTNERS L.P.,PSE,2008
NAVIOS MARITIME ACQUISITION CORP,NNA.U,2008
"HIGHPOWER INTERNATIONAL, INC.",HPJ,2008
BRITANNIA BULK HOLDINGS INC,DWT,2008
"RHI ENTERTAINMENT, INC.",RHIE,2008
"HCI GROUP, INC.",HCIIU,2008
CHINA DISTANCE EDUCATION HOLDINGS LTD,DL,2008
"OAK TREE EDUCATIONAL PARTNERS, INC.",FHMS,2008
NORTH ASIA INVESTMENT CORP,NHR.U,2008
GT ADVANCED TECHNOLOGIES INC.,SOLR,2008
"FUTUREIT, INC.",FITI,2008
"ENERGY RECOVERY, INC.",ERII,2008
"VIRTUAL MEDICAL CENTRE, INC.",,2008
"HSN, INC.",HSNI,2008
TICKETMASTER ENTERTAINMENT LLC,TKTM,2008
MYR GROUP INC.,MYRG,2008
"LENDINGTREE, INC.",TREE,2008
"ILG, LLC",IILG,2008
"DJSP ENTERPRISES, INC.",CACA,2008
LINIU TECHNOLOGY GROUP,CSACF,2008
"RACKSPACE HOSTING, INC.",RAX,2008
CHINA MASS MEDIA CORP.,CMM,2008
PANSOFT CO LTD,PSOF,2008
"CHOCOLATE CANDY CREATIONS, INC.",CCYS,2008
"HOME BANCORP, INC.",HBCP,2008
"GRAND CANYON EDUCATION, INC.",LOPE,2008
CURRENCYSHARES RUSSIAN RUBLE TRUST,XRU,2008
"VPR BRANDS, LP.",JOBI,2008
AIRSHARES(TM) EU CARBON ALLOWANCES FUND,ASO,2008
