Name,Filing Date,Word Length_sentiment,negative,positive,uncertainty,litigious,strongmodal,weakmodal,constraining
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,9/9/14,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,6/9/14,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,3/14/14,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,3/5/14,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,2/4/14,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,6/3/13,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,3/15/13,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,1/29/13,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,9/10/12,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,7/20/12,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,6/11/12,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,3/30/12,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,3/12/12,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,1/24/12,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,9/30/11,40,0,0,0,0,0.05,0,0
INVESCO CURRENCYSHARES CHINESE RENMINBI TRUST,9/28/11,40,0,0,0,0,0.05,0,0
"HINTO ENERGY, INC",3/29/12,57,0.070175439,0.052631579,0,0,0.035087719,0.035087719,0.070175439
"HINTO ENERGY, INC",8/18/11,57,0.070175439,0.052631579,0,0,0.035087719,0.035087719,0.070175439
"HINTO ENERGY, INC",5/9/11,57,0.070175439,0.052631579,0,0,0.035087719,0.035087719,0.070175439
"HINTO ENERGY, INC",12/10/09,57,0.070175439,0.052631579,0,0,0.035087719,0.035087719,0.070175439
"HINTO ENERGY, INC",7/16/08,57,0.070175439,0.052631579,0,0,0.035087719,0.035087719,0.070175439
"UBIQUITI NETWORKS, INC.",10/14/11,64,0,0,0.015625,0,0.03125,0,0
"DIGITAL DOMAIN MEDIA GROUP, INC.",11/21/11,243,0.016460905,0.016460905,0.057613169,0.004115226,0.024691358,0.012345679,0.012345679
INTERMOLECULAR INC,11/18/11,218,0.009174312,0.009174312,0.013761468,0,0.04587156,0.004587156,0.02293578
MATTRESS FIRM HOLDING CORP.,11/18/11,148,0.013513514,0,0,0.006756757,0.006756757,0.013513514,0
"MANNING & NAPIER, INC.",11/21/11,253,0,0.003952569,0.055335968,0,0.051383399,0.003952569,0
APTIV PLC,11/17/11,11,0,0,0,0,0.090909091,0,0
"ANGIE'S LIST, INC.",11/17/11,122,0,0.008196721,0.032786885,0,0.032786885,0.008196721,0.008196721
"CLOVIS ONCOLOGY, INC.",11/16/11,262,0.011450382,0,0.038167939,0.007633588,0.022900763,0.003816794,0.011450382
INVENSENSE INC,11/16/11,110,0,0,0.009090909,0,0.036363636,0.009090909,0.018181818
UNITED STATES COMMODITY INDEX FUNDS TRUST,5/15/13,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,4/29/13,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,4/29/13,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,4/29/13,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,3/20/13,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,3/15/13,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,12/28/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,12/28/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,7/30/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,7/30/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,7/30/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,5/30/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,5/29/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,5/24/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,5/8/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,5/1/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,5/1/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,4/5/12,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,12/27/11,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,12/27/11,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
UNITED STATES COMMODITY INDEX FUNDS TRUST,11/14/11,281,0.003558719,0.003558719,0.017793594,0.021352313,0.046263345,0.010676157,0.042704626
NEWLINK GENETICS CORP,11/14/11,232,0.00862069,0.004310345,0.034482759,0,0.012931034,0.004310345,0.00862069
PACIFIC DRILLING S.A.,11/14/11,110,0,0,0.018181818,0,0.018181818,0.018181818,0
"LRR ENERGY, L.P.",11/14/11,308,0.012987013,0,0.035714286,0,0.032467532,0,0
IMPERVA INC,11/9/11,175,0,0,0.011428571,0,0.034285714,0.005714286,0.011428571
HEALTHCARE CORP OF AMERICA,11/8/11,1635,0.012844037,0.002446483,0.00795107,0.00733945,0.026299694,0.010397554,0.006727829
"EAST DUBUQUE NITROGEN PARTNERS, L.P.",11/7/11,394,0.005076142,0.002538071,0.055837563,0,0.010152284,0.005076142,0.007614213
"GROUPON, INC.",11/7/11,127,0,0,0.023622047,0,0.031496063,0.007874016,0.007874016
ENDURO RESOURCE PARTNERS LLC,11/4/11,267,0,0.007490637,0.011235955,0.007490637,0.011235955,0,0
CRESTWOOD MIDSTREAM PARTNERS LP,12/16/11,305,0.009836066,0,0.026229508,0,0.049180328,0,0
ZYNGA INC,12/16/11,186,0,0.010752688,0.016129032,0,0.021505376,0.005376344,0.016129032
"BONANZA CREEK ENERGY, INC.",12/19/11,124,0,0,0.032258065,0,0.016129032,0,0
CAPRI HOLDINGS LTD,12/15/11,22,0,0,0,0,0.090909091,0,0
"LAREDO PETROLEUM, INC.",12/15/11,116,0,0,0.060344828,0,0.017241379,0,0
"MID-CON ENERGY PARTNERS, LP",12/16/11,315,0.006349206,0,0.022222222,0.006349206,0.019047619,0,0
GAZIT-GLOBE LTD,12/14/11,137,0,0,0.01459854,0,0.03649635,0,0.00729927
SANCHEZ ENERGY CORP,12/14/11,367,0.002724796,0,0.019073569,0,0.024523161,0,0
"JIVE SOFTWARE, INC.",12/13/11,236,0.004237288,0.004237288,0.016949153,0,0.016949153,0.012711864,0.012711864
"ROSE ROCK MIDSTREAM, L.P.",12/9/11,287,0.006968641,0,0.010452962,0.003484321,0.031358885,0,0
AMPLIFY ENERGY CORP,12/9/11,185,0,0,0.016216216,0,0.016216216,0,0
MEAD JOHNSON NUTRITION CO,2/11/09,154,0,0.012987013,0.025974026,0.006493506,0.032467532,0,0.019480519
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",11/23/09,9,0,0,0,0,0.111111111,0,0
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",10/29/09,9,0,0,0,0,0.111111111,0,0
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",6/29/09,9,0,0,0,0,0.111111111,0,0
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",5/20/09,9,0,0,0,0,0.111111111,0,0
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",5/6/09,9,0,0,0,0,0.111111111,0,0
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",4/28/09,9,0,0,0,0,0.111111111,0,0
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",4/2/09,9,0,0,0,0,0.111111111,0,0
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",3/26/09,9,0,0,0,0,0.111111111,0,0
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",3/17/09,9,0,0,0,0,0.111111111,0,0
"NIVS INTELLIMEDIA TECHNOLOGY GROUP, INC.",3/13/09,9,0,0,0,0,0.111111111,0,0
ROSETTA STONE INC,4/16/09,245,0,0.020408163,0.016326531,0,0.032653061,0.008163265,0.020408163
ZOVIO INC,4/16/09,116,0.00862069,0,0.00862069,0,0.051724138,0,0
CHANGYOU.COM LTD,4/2/09,125,0,0.008,0.032,0,0.032,0.016,0.016
OPENTABLE INC,5/21/09,124,0,0,0.024193548,0,0.024193548,0.008064516,0.016129032
"SOLARWINDS, INC.",5/20/09,315,0.012698413,0.006349206,0.015873016,0,0.019047619,0.003174603,0.015873016
"DIGITALGLOBE, INC.",8/13/09,58,0,0,0,0,0.034482759,0.017241379,0.017241379
"DIGITALGLOBE, INC.",5/14/09,58,0,0,0,0,0.034482759,0.017241379,0.017241379
"DIGITALGLOBE, INC.",5/14/09,58,0,0,0,0,0.034482759,0.017241379,0.017241379
"MACROSHARES HOUSING DEPOSITOR, LLC",6/29/09,130,0,0,0,0,0.038461538,0.015384615,0.007692308
"MACROSHARES HOUSING DEPOSITOR, LLC",6/29/09,130,0,0,0,0,0.038461538,0.015384615,0.007692308
INVESCO MORTGAGE CAPITAL INC.,6/29/09,256,0,0.0078125,0.03125,0,0.05078125,0.01171875,0.00390625
"MEDIDATA SOLUTIONS, INC.",6/25/09,190,0.010526316,0.015789474,0.026315789,0,0.021052632,0.015789474,0.005263158
DUOYUAN GLOBAL WATER INC.,6/25/09,187,0.010695187,0.010695187,0.032085561,0,0.021390374,0.042780749,0.005347594
CHEMSPEC INTERNATIONAL LTD,6/24/09,197,0,0.015228426,0.025380711,0.010152284,0.035532995,0.015228426,0.020304569
"CYS INVESTMENTS, INC.",6/12/09,188,0.005319149,0.010638298,0.031914894,0,0.010638298,0.005319149,0.005319149
OFFICE PROPERTIES INCOME TRUST,6/3/09,380,0.005263158,0.002631579,0.034210526,0.010526316,0.026315789,0.002631579,0.010526316
HPL TECHNOLOGIES INC,7/31/01,301,0,0,0.033222591,0,0.026578073,0.016611296,0.006644518
INTERACTIVE LEISURE SYSTEMS,7/25/01,336,0.005952381,0.008928571,0.014880952,0,0.023809524,0.011904762,0
